,West Palm Beach,WPB, 558 , 627 , 77 ," 2,397 ", 20 , 44 , 33 , 150 , 578 , 671 , 110 ," 2,547 ",,,,,,,,,
Georgia,,, , , , , , , , , , , , ,,,,,,,,,
,Atlanta ,ATL," 1,140 ", 764 , 265 ," 8,212 ", 40 , 20 , 96 , 508 ," 1,180 ", 784 , 361 ," 8,720 ",,,,,,,,,
Hawaii,,, , , , , , , , , , , , ,,,,,,,,,
,Honolulu ,HHW, 129 , 84 , 19 , 753 , D , D , 27 , 47 , 133 , 86 , 46 , 800 ,,,,,,,,,
Idaho,,, , , , , , , , , , , , ,,,,,,,,,
,Boise ,BOI, 114 , 40 , D , 500 , D , D , D , 26 , 120 , 42 , D , 526 ,,,,,,,,,
Illinois,,, , , , , , , , , , , , ,,,,,,,,,
,Chicago ,CHI," 1,742 "," 1,788 ", 178 ," 8,812 ", 56 , 82 , 154 , 487 ," 1,798 "," 1,870 ", 332 ," 9,299 ",,,,,,,,,
Indiana,,, , , , , , , , , , , , ,,,,,,,,,
,Indianapolis ,INP, 355 , 428 , 120 ," 2,072 ", 10 , 23 , 19 , 97 , 365 , 451 , 139 ," 2,169 ",,,,,,,,,
Iowa,,, , , , , , , , , , , , ,,,,,,,,,
,Des Moines,DSM, 116 , 192 , 26 , 443 , D , 13 , D , 50 , 118 , 205 , 34 , 493 ,,,,,,,,,
Kansas,,, , , , , , , , , , , , ,,,,,,,,,
,Wichita,WIC, 110 , 137 , 11 , 426 , -   , D , D , 19 , 110 , 138 , 18 , 445 ,,,,,,,,,
Kentucky,,, , , , , , , , , , , , ,,,,,,,,,
,Louisville ,LOU, 175 , 296 , 34 , 657 , D , 12 , 12 , 40 , 176 , 308 , 46 , 697 ,,,,,,,,,
Louisiana,,, , , , , , , , , , , , ,,,,,,,,,
,New Orleans ,NOL, 208 , 244 , 45 ," 2,345 ", D , D , 22 , 148 , 216 , 248 , 67 ," 2,493 ",,,,,,,,,
Maine,,, , , , , , , , , , , , ,,,,,,,,,
,Portland ,POM, 54 , 49 , D , 228 , D , D , -   , 22 , 58 , 50 , D , 250 ,,,,,,,,,
Maryland,,, , , , , , , , , , , , ,,,,,,,,,
,Baltimore ,BAL, 969 ," 1,341 ", 139 ," 6,494 ", 34 , 48 , 14 , 538 ," 1,003 "," 1,389 ", 153 ," 7,032 ",,,,,,,,,
Massachusetts,,, , , , , , , , , , , , ,,,,,,,,,
,Boston ,BOS, 993 ," 1,347 ", 135 ," 4,928 ", 28 , 49 , D , 300 ," 1,021 "," 1,396 ", 144 ," 5,228 ",,,,,,,,,
,Lawrence,LAW, 438 , 687 , 67 ," 1,659 ", 15 , 14 , D , 88 , 453 , 701 , 71 ," 1,747 ",,,,,,,,,
Michigan,,, , , , , , , , , , , , ,,,,,,,,,
,Detroit ,DET, 467 , 804 , 53 ," 2,838 ", D , 73 , 63 , 320 , 476 , 877 , 116 ," 3,158 ",,,,,,,,,
Minnesota,,, , , , , , , , , , , , ,,,,,,,,,
,St. Paul ,SPM, 396 , 382 , 55 ," 2,651 ", 17 , 25 , 35 , 247 , 413 , 407 , 90 ," 2,898 ",,,,,,,,,
Missouri,,, , , , , , , , , , , , ,,,,,,,,,
,Kansas City ,KAN, 285 , 434 , 41 ," 1,161 ", D , 19 , 13 , 59 , 291 , 453 , 54 ," 1,220 ",,,,,,,,,
,St. Louis ,STL, 109 , 178 , 10 , 574 , 12 , 16 , 22 , 48 , 121 , 194 , 32 , 622 ,,,,,,,,,
Montana,,, , , , , , , , , , , , ,,,,,,,,,
,Helena ,HEL, 48 , 30 , D , 155 , -   , -   , D , D , 48 , 30 , D , 157 ,,,,,,,,,
Nebraska,,, , , , , , , , , , , , ,,,,,,,,,
,Omaha ,OMA, 187 , 117 , 28 ," 1,012 ", D , 10 , D , 75 , 188 , 127 , 33 ," 1,087 ",,,,,,,,,
Nevada,,, , , , , , , , , , , , ,,,,,,,,,
,Las Vegas ,LVG, 399 , 480 , 70 ," 2,630 ", D , 20 , 32 , 138 , 408 , 500 , 102 ," 2,768 ",,,,,,,,,
,Reno ,REN, 92 , 150 , 10 , 398 , D , D , D , 23 , 95 , 154 , 12 , 421 ,,,,,,,,,
New Hampshire,,, , , , , , , , , , , , ,,,,,,,,,
,Manchester ,MAN, 88 , 145 , 10 , 302 , D , D , -   , 19 , 91 , 150 , 10 , 321 ,,,,,,,,,
New Jersey,,, , , , , , , , , , , , ,,,,,,,,,
,Mount Laurel,MTL, 372 , 496 , 73 ," 2,143 ", 11 , 15 , D , 127 , 383 , 511 , 74 ," 2,270 ",,,,,,,,,
,Newark ,NEW," 1,880 "," 1,875 ", 549 ," 11,083 ", 49 , 90 , 32 , 544 ," 1,929 "," 1,965 ", 581 ," 11,627 ",,,,,,,,,
New Mexico,,, , , , , , , , , , , , ,,,,,,,,,
,Albuquerque ,ABQ, 194 , 163 , D , 711 , D , D , D , 18 , 199 , 164 , 10 , 729 ,,,,,,,,,
New York,,, , , , , , , , , , , , ,,,,,,,,,
,Albany ,ALB, 83 , 160 , 35 , 781 , D , 11 , D , 94 , 88 , 171 , 39 , 875 ,,,,,,,,,
,Brooklyn,BNY, 995 ," 1,463 ", 244 ," 9,010 ", 40 , 42 , 16 , 744 ," 1,035 "," 1,505 ", 260 ," 9,754 ",,,,,,,,,
,Buffalo ,BUF, 147 , 288 , 28 , 790 , D , 21 , D , 85 , 153 , 309 , 34 , 875 ,,,,,,,,,
,Long Island,LNY, 760 , 966 , 101 ," 4,090 ", 18 , 54 , 20 , 255 , 778 ," 1,020 ", 121 ," 4,345 ",,,,,,,,,
,New York ,NYC," 1,726 "," 2,055 ", 460 ," 7,486 ", 46 , 127 , 40 , 528 ," 1,772 "," 2,182 ", 500 ," 8,014 ",,,,,,,,,
,Queens,QNS," 1,185 "," 1,615 ", 290 ," 7,392 ", 31 , 76 , 27 , 654 ," 1,216 "," 1,691 ", 317 ," 8,046 ",,,,,,,,,
North Carolina,,, , , , , , , , , , , , ,,,,,,,,,
,Charlotte ,CLT, 457 , 665 , 49 ," 2,263 ", 18 , 15 , 19 , 112 , 475 , 680 , 68 ," 2,375 ",,,,,,,,,
,Raleigh,RAL, 416 , 280 , 35 ," 2,571 ", 19 , 13 , 20 , 139 , 435 , 293 , 55 ," 2,710 ",,,,,,,,,
Ohio,,, , , , , , , , , , , , ,,,,,,,,,
,Cincinnati ,CIN, 99 , 262 , 14 , 648 , D , 16 , 13 , 59 , 105 , 278 , 27 , 707 ,,,,,,,,,
,Cleveland ,CLE, 171 , 342 , 25 , 773 , D , D , 17 , 64 , 177 , 350 , 42 , 837 ,,,,,,,,,
,Columbus,CLM, 208 , 499 , 32 , 863 , D , 12 , 14 , 48 , 212 , 511 , 46 , 911 ,,,,,,,,,
Oklahoma,,, , , , , , , , , , , , ,,,,,,,,,
,Oklahoma City ,OKC, 306 , 330 , 37 ," 1,272 ", D , 20 , 17 , 42 , 312 , 350 , 54 ," 1,314 ",,,,,,,,,
Oregon,,, , , , , , , , , , , , ,,,,,,,,,
,Portland ,POO, 365 , 298 , 49 ," 2,574 ", 16 , 18 , 41 , 186 , 381 , 316 , 90 ," 2,760 ",,,,,,,,,
Pennsylvania,,, , , , , , , , , , , , ,,,,,,,,,
,Philadelphia,PHI," 1,054 "," 1,743 ", 190 ," 4,657 ", 39 , 97 , 18 , 301 ," 1,093 "," 1,840 ", 208 ," 4,958 ",,,,,,,,,
,Pittsburgh ,PIT, 138 , 259 , 12 , 743 , D , 13 , -   , 38 , 143 , 272 , 12 , 781 ,,,,,,,,,
Rhode Island,,, , , , , , , , , , , , ,,,,,,,,,
,Providence ,PRO, 186 , 258 , 44 , 879 , D , 10 , D , 34 , 187 , 268 , 47 , 913 ,,,,,,,,,
South Carolina,,, , , , , , , , , , , , ,,,,,,,,,
,Charleston ,CHL, 244 , 238 , 48 ," 1,111 ", D , 14 , 12 , 47 , 249 , 252 , 60 ," 1,158 ",,,,,,,,,
,Greer,GRR, 141 , 230 , 18 , 556 , D , D , D , 31 , 150 , 235 , 25 , 587 ,,,,,,,,,
Tennessee,,, , , , , , , , , , , , ,,,,,,,,,
,Memphis ,MEM, 175 , 853 , 44 ," 1,284 ", D , D , D , 49 , 178 , 862 , 52 ," 1,333 ",,,,,,,,,
,Nashville,NTN, 284 , 225 , 38 ," 1,566 ", D , D , 12 , 75 , 292 , 232 , 50 ," 1,641 ",,,,,,,,,
Texas,,, , , , , , , , , , , , ,,,,,,,,,
,Dallas ,DAL," 2,068 "," 1,866 ", 242 ," 10,495 ", 82 , 92 , 86 , 546 ," 2,150 "," 1,958 ", 328 ," 11,041 ",,,,,,,,,
,El Paso ,ELP, 536 , 530 , 43 ," 1,872 ", 13 , 18 , D , 95 , 549 , 548 , 50 ," 1,967 ",,,,,,,,,
,Harlingen ,HLG, 639 , 619 , 102 ," 1,601 ", 24 , 19 , D , 51 , 663 , 638 , 111 ," 1,652 ",,,,,,,,,
,Houston ,HOU," 1,984 "," 1,915 ", 276 ," 11,228 ", 73 , 96 , 120 , 647 ," 2,057 "," 2,011 ", 396 ," 11,875 ",,,,,,,,,
,San Antonio ,SNA," 1,252 "," 1,223 ", 160 ," 4,297 ", 25 , 51 , 40 , 205 ," 1,277 "," 1,274 ", 200 ," 4,502 ",,,,,,,,,
Utah,,, , , , , , , , , , , , ,,,,,,,,,
,Salt Lake City ,SLC, 503 , 513 , 43 ," 2,792 ", 13 , 10 , 16 , 78 , 516 , 523 , 59 ," 2,870 ",,,,,,,,,
Vermont,,, , , , , , , , , , , , ,,,,,,,,,
,St. Albans ,STA, 33 , 67 , 10 , 137 , -   , D , -   , D , 33 , 69 , 10 , 141 ,,,,,,,,,
Virginia,,, , , , , , , , , , , , ,,,,,,,,,
,Norfolk ,NOR, 252 , 264 , 39 ," 1,548 ", D , 20 , D , 91 , 259 , 284 , 45 ," 1,639 ",,,,,,,,,
Washington,,, , , , , , , , , , , , ,,,,,,,,,
,Seattle ,SEA, 667 , 899 , 71 ," 4,021 ", 46 , 55 , 65 , 395 , 713 , 954 , 136 ," 4,416 ",,,,,,,,,
,Spokane ,SPO, 49 , 88 , D , 207 , D , D , D , 13 , 51 , 92 , D , 220 ,,,,,,,,,
,Yakima,YAK, 108 , 171 , 16 , 577 , D , 12 , 32 , 45 , 114 , 183 , 48 , 622 ,,,,,,,,,
West Virginia,,, , , , , , , , , , , , ,,,,,,,,,
,Charleston ,CHS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,
Wisconsin,,, , , , , , , , , , , , ,,,,,,,,,
,Milwaukee ,MIL, 246 , 443 , 24 ," 1,116 ", D , 14 , 17 , 55 , 249 , 457 , 41 ," 1,171 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Field Office by Territory7,,, , , , , , , , , , , , ,,,,,,,,,
Guam,,, , , , , , , , , , , , ,,,,,,,,,
,Agana,AGA, 95 , 149 , D , 458 , D , 10 , D , 20 , 96 , 159 , 10 , 478 ,,,,,,,,,
U.S. Virgin Islands,,, , , , , , , , , , , , ,,,,,,,,,
,Charlotte Amalie,CHA, 11 , 22 , D , 70 , -   , -   , D , 10 , 11 , 22 , D , 80 ,,,,,,,,,
,Christiansted ,CHR, D , -   , -   , 16 , -   , -   , -   , -   , D , -   , -   , 16 ,,,,,,,,,
Puerto Rico,,, , , , , , , , , , , , ,,,,,,,,,
,San Juan ,SAJ, 135 , 129 , 19 , 491 , D , D , D , 26 , 139 , 132 , 20 , 517 ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Service Center,,, , , , , , , , , , , , ,,,,,,,,,
,California,WSC," 20,418 "," 8,976 ", 772 ," 58,660 "," 10,729 "," 5,631 "," 2,782 "," 714,721 "," 31,147 "," 14,607 "," 3,554 "," 773,381 ",,,,,,,,,
,Nebraska,NSC," 19,502 "," 12,598 ", 791 ," 34,230 "," 11,544 "," 4,800 ", 341 ," 53,998 "," 31,046 "," 17,398 "," 1,132 "," 88,228 ",,,,,,,,,
,Texas,SSC," 19,536 "," 11,601 ", 886 ," 74,887 "," 11,627 "," 5,183 ", 307 ," 64,618 "," 31,163 "," 16,784 "," 1,193 "," 139,505 ",,,,,,,,,
,Vermont,ESC," 21,437 "," 8,640 ", 392 ," 65,918 "," 12,950 "," 4,638 "," 1,314 "," 110,772 "," 34,387 "," 13,278 "," 1,706 "," 176,690 ",,,,,,,,,
,Potomac,YSC," 19,690 "," 12,459 "," 4,746 "," 75,080 "," 11,906 "," 1,318 ", 160 ," 87,089 "," 31,596 "," 13,777 "," 4,906 "," 162,169 ",,,,,,,,,
Table Key:,,,,,,,,,,,,,,,,,,,,,,,
D  Disclosure standards not met,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,,,,,,,,
1 Immediate Relative refers to petitions to sponsor Immediate Relatives of U.S. citizens.,,,,,,,,,,,,,,,,,,,,,,,
2 All Other Relatives refers to petitions to sponsor relatives under Family-Based Preferences.,,,,,,,,,,,,,,,,,,,,,,,
3 The number of new petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,
4 The number of petitions approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,
5 The number of petitions denied during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,
6 The number of petitions awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,,,
7 Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,
"1) Some petitions approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,,,,,,,,
4) These counts do not include international offices.,,,,,,,,,,,,,,,,,,,,,,,
"5) Many USCIS international offices have permanently closed in the last two years; for a list of those offices, please see https://www.uscis.gov/about-us/uscis-office-closings",,,,,,,,,,,,,,,,,,,,,,,
"6) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,,,,,,,,,,
"PRT, queried 02/2022, TRK 8794",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
