From,,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024,7/1/2024,7/16/2024,8/1/2024,8/16/2024,9/1/2024,9/16/2024,10/1/2024,10/16/2024,11/1/2024,11/16/2024,
To,,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024,7/15/2024,7/31/2024,8/15/2024,8/31/2024,9/15/2024,9/30/2024,10/15/2024,10/31/2024,11/15/2024,11/30/2024,
Subject to Bar under 8 CFR 208.13(c)(4) - No Exception Established,Case Receipts, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
,All Decisions, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
,Fear Established_Persecution (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
,Fear Established_Torture (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
,Fear Not Established (N), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
,Administratively Closed, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Subject to Bar under 8 CFR 208.13(c)(4) - Exception Established,Case Receipts, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
,All Decisions, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
,Fear Established_Persecution (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
,Fear Established_Torture (Y), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
,Fear Not Established (N), - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
,Administratively Closed, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Credible Fear Cases at Family Residential Centers3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024,7/1/2024,7/16/2024,8/1/2024,8/16/2024,9/1/2024,9/16/2024,10/1/2024,10/16/2024,11/1/2024,11/16/2024,
To,,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024,7/15/2024,7/31/2024,8/15/2024,8/31/2024,9/15/2024,9/30/2024,10/15/2024,10/31/2024,11/15/2024,11/30/2024,
Case Receipts,, 69 , 422 , 281 , 856 , 875 , 705 , 658 , 539 , 376 , 372 , 780 , 757 , 775 , 520 , 16 , 18 , 21 , 6 , 5 , 4 , 4 , 4 , 13 , 3 , 36 ,
All Decisions,, 554 , 825 , 413 , 561 ," 1,052 ", 756 , 697 , 870 , 729 , 562 , 586 , 630 , 569 , 489 , 668 , 101 , 34 , 20 , 12 , 5 , 5 , 7 , 13 , 14 , 17 ,
Fear Established_Persecution (Y),, 50 , 103 , 145 , 143 , 230 , 240 , 245 , 227 , 252 , 163 , 193 , 184 , 160 , 93 , 8 , 20 , 5 , 3 ,,,, 1 , 3 , 2 , 1 ,
Fear Established_Torture (Y),, 36 , 73 , 136 , 136 , 229 , 179 , 174 , 189 , 241 , 187 , 182 , 203 , 207 , 83 , 19 , 45 , 8 , 4 , 1 ,, 2 ,, 2 , 1 , 1 ,
Fear Not Established (N),, 43 , 40 , 101 , 224 , 406 , 228 , 167 , 199 , 138 , 196 , 198 , 225 , 168 , 77 , 20 , 31 , 14 , 2 , 3 , 2 , 2 ,, 4 , 3 ,,
Administratively Closed,, 425 , 609 , 31 , 58 , 187 , 109 , 111 , 255 , 98 , 16 , 13 , 18 , 34 , 236 , 621 , 5 , 7 , 11 , 8 , 3 , 1 , 6 , 4 , 8 , 15 ,
All Reasonable Fear Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024,7/1/2024,7/16/2024,8/1/2024,8/16/2024,9/1/2024,9/16/2024,10/1/2024,10/16/2024,11/1/2024,11/16/2024,
To,,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024,7/15/2024,7/31/2024,8/15/2024,8/31/2024,9/15/2024,9/30/2024,10/15/2024,10/31/2024,11/15/2024,11/30/2024,
Case Receipts,, 706 , 860 , 650 , 922 ," 1,200 ", 778 , 487 , 720 , 675 , 672 , 683 , 675 , 623 , 410 , 454 , 438 , 456 , 380 , 369 , 374 , 518 , 411 , 484 , 409 , 318 ,
All Decisions,, 554 , 929 , 832 ," 1,038 "," 1,243 ", 903 , 548 , 599 , 780 , 712 , 670 , 648 , 584 , 549 , 427 , 387 , 475 , 365 , 424 , 293 , 491 , 404 , 497 , 355 , 382 ,
Fear Established_Persecution (Y),, 68 , 112 , 110 , 169 , 207 , 151 , 83 , 61 , 85 , 95 , 78 , 69 , 68 , 55 , 45 , 37 , 29 , 31 , 42 , 24 , 42 , 34 , 41 , 31 , 26 ,
Fear Established_Torture (Y),, 108 , 182 , 176 , 230 , 275 , 176 , 92 , 93 , 130 , 120 , 103 , 104 , 94 , 73 , 68 , 36 , 67 , 54 , 57 , 57 , 71 , 60 , 69 , 47 , 49 ,
Fear Not Established (N),, 199 , 317 , 388 , 470 , 483 , 369 , 216 , 239 , 287 , 299 , 308 , 319 , 261 , 258 , 195 , 182 , 250 , 163 , 180 , 114 , 232 , 175 , 218 , 174 , 178 ,
Administratively Closed,, 179 , 318 , 158 , 169 , 278 , 207 , 157 , 206 , 278 , 198 , 181 , 156 , 161 , 163 , 119 , 132 , 129 , 117 , 145 , 98 , 146 , 135 , 169 , 103 , 129 ,
Reasonable Fear Cases at Family Residential Centers,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
From,,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024,7/1/2024,7/16/2024,8/1/2024,8/16/2024,9/1/2024,9/16/2024,10/1/2024,10/16/2024,11/1/2024,11/16/2024,
To,,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024,7/15/2024,7/31/2024,8/15/2024,8/31/2024,9/15/2024,9/30/2024,10/15/2024,10/31/2024,11/15/2024,11/30/2024,
Case Receipts,, 165 , 244 , 187 , 267 , 152 , 40 , 26 , 30 , 39 , 39 , 26 , 26 , 34 , 14 , 8 , 14 , 12 , 13 , 10 , 14 , 19 , 23 , 18 , 23 , 9 ,
All Decisions,, 79 , 80 , 300 , 380 , 289 , 98 , 25 , 27 , 40 , 44 , 36 , 22 , 22 , 29 , 11 , 10 , 16 , 17 , 10 , 8 , 23 , 16 , 19 , 20 , 18 ,
Fear Established_Persecution (Y),, 7 , 15 , 46 , 70 , 72 , 26 , 9 , 7 , 10 , 14 , 10 , 1 , 4 , 4 , 1 , 2 , 1 , 2 , 2 , 1 , 2 , 4 , 2 , 4 , 2 ,
Fear Established_Torture (Y),, 23 , 32 , 85 , 126 , 105 , 34 , 9 , 7 , 11 , 12 , 9 , 7 , 7 , 8 , 3 , 1 , 5 , 4 ,, 3 , 5 , 4 , 3 , 3 , 6 ,
Fear Not Established (N),, 29 , 15 , 141 , 175 , 96 , 33 , 6 , 8 , 14 , 16 , 11 , 12 , 7 , 13 , 6 , 4 , 7 , 4 , 4 , 4 , 16 , 5 , 10 , 8 , 6 ,
Administratively Closed,, 20 , 18 , 28 , 9 , 16 , 5 , 1 , 5 , 5 , 2 , 6 , 2 , 4 , 4 , 1 , 3 , 3 , 7 , 4 ,,, 3 , 4 , 5 , 4 ,
Credible Fear Cases Disaggregated by Adjudicator DHS Component and Occupational Series,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjudicator Component and Occupational Series,From,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024,7/1/2024,7/16/2024,8/1/2024,8/16/2024,9/1/2024,9/16/2024,10/1/2024,10/16/2024,11/1/2024,11/16/2024,
,To,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024,7/15/2024,7/31/2024,8/15/2024,8/31/2024,9/15/2024,9/30/2024,10/15/2024,10/31/2024,11/15/2024,11/30/2024,
"USCIS: GS-0930, GS-1801",All Decisions," 8,551 "," 9,547 "," 5,607 "," 6,829 "," 11,267 "," 11,359 "," 9,078 "," 11,324 "," 12,461 "," 9,435 "," 10,073 "," 9,195 "," 9,294 "," 7,102 "," 6,394 "," 2,513 "," 1,400 "," 1,158 "," 1,120 ", 700 , 856 , 904 , 959 , 653 , 717 ,1
,Fear Established_Persecution (Y)," 2,164 "," 2,111 "," 1,919 "," 1,815 "," 1,844 "," 2,066 "," 1,892 "," 2,319 "," 2,856 "," 2,532 "," 2,567 "," 2,446 "," 2,344 "," 1,943 "," 1,345 ", 551 , 175 , 125 , 99 , 85 , 82 , 77 , 79 , 69 , 72 ,
,Fear Established_Torture (Y)," 1,585 "," 1,479 "," 1,339 "," 1,410 "," 1,631 "," 1,602 "," 1,425 "," 1,833 "," 2,048 "," 1,747 "," 1,774 "," 1,560 "," 1,574 "," 1,287 ", 956 , 427 , 125 , 53 , 57 , 44 , 34 , 32 , 32 , 44 , 50 ,
,Fear Not Established (N)," 2,529 "," 2,580 "," 1,639 "," 2,150 "," 3,479 "," 3,524 "," 3,215 "," 3,243 "," 3,682 "," 3,605 "," 3,853 "," 3,779 "," 3,571 "," 2,490 "," 1,449 ", 546 , 223 , 138 , 148 , 104 , 115 , 131 , 127 , 85 , 111 ,
,Administratively Closed," 2,273 "," 3,377 ", 710 ," 1,454 "," 4,313 "," 4,167 "," 2,546 "," 3,929 "," 3,875 "," 1,551 "," 1,879 "," 1,410 "," 1,805 "," 1,382 "," 2,644 ", 989 , 877 , 842 , 816 , 467 , 625 , 664 , 721 , 455 , 484 ,1
"USCBP: GS-1895, GS-1896",All Decisions, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,Fear Established_Persecution (Y), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,Fear Established_Torture (Y), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,Fear Not Established (N), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,Administratively Closed, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Reasonable Fear Cases Disaggregated by Adjudicator DHS Component and Occupational Series,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjudicator Component and Occupational Series,From,11/16/2023,12/1/2023,12/16/2023,1/1/2024,1/16/2024,2/1/2024,2/16/2024,3/1/2024,3/16/2024,4/1/2024,4/16/2024,5/1/2024,5/16/2024,6/1/2024,6/16/2024,7/1/2024,7/16/2024,8/1/2024,8/16/2024,9/1/2024,9/16/2024,10/1/2024,10/16/2024,11/1/2024,11/16/2024,
,To,11/30/2023,12/15/2023,12/31/2023,1/15/2024,1/31/2024,2/15/2024,2/29/2024,3/15/2024,3/31/2024,4/15/2024,4/30/2024,5/15/2024,5/31/2024,6/15/2024,6/30/2024,7/15/2024,7/31/2024,8/15/2024,8/31/2024,9/15/2024,9/30/2024,10/15/2024,10/31/2024,11/15/2024,11/30/2024,
"USCIS: GS-0930, GS-1801",All Decisions, 554 , 929 , 832 ," 1,038 "," 1,243 ", 903 , 548 , 599 , 780 , 712 , 670 , 648 , 584 , 549 , 427 , 387 , 475 , 365 , 424 , 293 , 491 , 404 , 497 , 355 , 382 ,
,Fear Established_Persecution (Y), 70 , 115 , 111 , 172 , 210 , 152 , 84 , 62 , 85 , 95 , 79 , 70 , 69 , 55 , 45 , 37 , 29 , 32 , 44 , 24 , 42 , 35 , 41 , 31 , 26 ,
,Fear Established_Torture (Y), 108 , 182 , 176 , 230 , 275 , 176 , 92 , 93 , 130 , 120 , 103 , 104 , 94 , 73 , 68 , 36 , 67 , 54 , 57 , 57 , 71 , 60 , 69 , 47 , 49 ,
,Fear Not Established (N), 212 , 330 , 404 , 495 , 506 , 387 , 224 , 252 , 300 , 314 , 323 , 335 , 270 , 263 , 198 , 187 , 263 , 170 , 190 , 125 , 238 , 185 , 224 , 180 , 180 ,
,Administratively Closed, 179 , 318 , 158 , 169 , 278 , 207 , 157 , 206 , 278 , 198 , 181 , 156 , 161 , 163 , 119 , 132 , 129 , 117 , 145 , 98 , 146 , 135 , 169 , 103 , 129 ,
"USCBP: GS-1895, GS-18964",All Decisions, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,Fear Established_Persecution (Y), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,Fear Established_Torture (Y), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,Fear Not Established (N), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,Administratively Closed, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Key,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All Refugee Officers, occupational series 1801, CBP Officers, occupational series 1895, and Border Patrol Agents, occupational series 1896, who conduct credible fear and reasonable fear screening determinations, have been trained in accordance with the regulatory and statutory requirements for Asylum Officers, occupational series 0930.  Additionally, all credible fear and reasonable fear screening determinations are reviewed by either a Supervisory Asylum Officer, occupational series 0930 or one of a small number of Supervisory Refugee Officers, occupational series 1801, serving in the capacity of Supervisory Asylum Officers. The Supervisory Refugee Officers are either former asylum officers or have been trained and have experience consistent with the regulatory and statutory requirements to conduct reviews of these cases.",,,,,,,,,,,,,,,,,,,,,,,,,,,
- Represents 0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information on our reports, visit the Understanding Our Data page.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 Case receipts are grouped by date of receipt, decisions are grouped by date of completion",,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Case receipts and completions subject to the Third Country Transit Bar - Interim Final Rule for June 2020 do not include any cases affected by the vacatur of the Third-Country Transit Bar on June 30, 2020 in CAIR v. Trump, 19-cv-02117, June 30, 2020 (D.D.C)",,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Only single adults have been screened at the Family Residential Centers.,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 USCBP adjudicators have not been assigned any reasonable fear cases to date,,,,,,,,,,,,,,,,,,,,,,,,,,,</p></body>
