Form I-129 Petition for Nonimmigrant Worker Specialty Occupations (H-1B),,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,

"October 1, 2016 - December 31, 2022",,,,,,,,,,

Period,,Petitions by Case Status,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9
2021 Total,,"398,281","407,070","11,237","418,307",97.30%,"67,872",16.20%,"58,689",86.50%

2022,October,"32,949","32,362",763,"33,125",97.70%,"4,326",13.10%,"3,796",87.70%

,November,"28,184","31,495",782,"32,277",97.60%,"4,347",13.50%,"3,828",88.10%

,December,"28,505","28,601",763,"29,364",97.40%,"3,883",13.20%,"3,352",86.30%

,January,"28,226","30,350",792,"31,142",97.50%,"3,807",12.20%,"3,216",84.50%

,February,"30,298","32,323",758,"33,081",97.70%,"3,141",9.50%,"2,646",84.20%

,March,"36,130","43,549",972,"44,521",97.80%,"3,436",7.70%,"2,782",81.00%

,April,"41,390","39,694",741,"40,435",98.20%,"2,898",7.20%,"2,409",83.10%

,May,"55,141","38,930",562,"39,492",98.60%,"2,793",7.10%,"2,375",85.00%

,June,"101,231","41,559",644,"42,203",98.50%,"2,971",7.00%,"2,524",85.00%

,July,"33,016","38,556",643,"39,199",98.40%,"3,169",8.10%,"2,725",86.00%

,August,"33,305","46,363",755,"47,118",98.40%,"4,167",8.80%,"3,630",87.10%

,September,"25,928","38,261",911,"39,172",97.70%,"4,369",11.20%,"3,734",85.50%

2022 Total,,"474,303","442,043","9,086","451,129",98.00%,"43,307",9.60%,"37,017",85.50%

2023,October,"24,236","36,435",856,"37,291",97.70%,"4,230",11.30%,"3,673",86.80%

,November,"22,212","31,973","1,092","33,065",96.70%,"4,326",13.10%,"3,698",85.50%

,December,"22,434","31,153","1,276","32,429",96.10%,"4,208",13.00%,"3,479",82.70%

2023 Total,,"68,882","99,561","3,224","102,785",96.90%,"12,764",12.40%,"10,850",85.00%

"Form I-129 Petition for a Nonimmigrant Worker, Temporary Agricultural Worker (H-2A)",,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,

"October 1, 2016 - December 31, 2022",,,,,,,,,,

Period,,Petitions by Case Status,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9

TOTAL,,"106,853","104,961",914,"105,875",99.10%,"9,940",9.40%,"9,096",91.50%

2017,October,454,408,6,414,98.60%,69,16.70%,64,92.80%

,November,595,521,15,536,97.20%,84,15.70%,70,83.30%

,December,767,744,11,755,98.50%,78,10.30%,68,87.20%

,January,"1,223","1,081",8,"1,089",99.30%,109,10.00%,101,92.70%

,February,"1,678","1,576",5,"1,581",99.70%,105,6.60%,100,95.20%

,March,"1,743","1,744",7,"1,751",99.60%,172,9.80%,166,96.50%

,April,"1,047","1,282",7,"1,289",99.50%,145,11.20%,139,95.90%

,May,962,867,8,875,99.10%,108,12.30%,100,92.60%

,June,"1,078","1,049",5,"1,054",99.50%,143,13.60%,138,96.50%

,July,814,888,3,891,99.70%,125,14.00%,122,97.60%

,August,768,793,3,796,99.60%,99,12.40%,96,97.00%

,September,473,498,11,509,97.80%,110,21.60%,100,90.90%

2017 Total,,"11,602","11,451",89,"11,540",99.20%,"1,347",11.70%,"1,264",93.80%

2018,October,589,516,7,523,98.70%,83,15.90%,76,91.60%

,November,663,597,3,600,99.50%,76,12.70%,73,96.10%

,December,819,825,7,832,99.20%,106,12.70%,99,93.40%

,January,"1,283","1,155",7,"1,162",99.40%,118,10.20%,111,94.10%

,February,"1,991","1,612",8,"1,620",99.50%,132,8.10%,124,93.90%

,March,"1,905","2,341",7,"2,348",99.70%,225,9.60%,218,96.90%

,April,"1,293","1,262",17,"1,279",98.70%,141,11.00%,125,88.70%

,May,"1,085","1,103",11,"1,114",99.00%,156,14.00%,146,93.60%

,June,"1,246","1,123",7,"1,130",99.40%,125,11.10%,119,95.20%

,July,"1,139","1,140",4,"1,144",99.70%,131,11.50%,127,96.90%

,August,910,983,8,991,99.20%,151,15.20%,144,95.40%

,September,521,585,8,593,98.70%,119,20.10%,111,93.30%

2018 Total,,"13,444","13,242",94,"13,336",99.30%,"1,563",11.70%,"1,473",94.20%

2019,October,720,660,11,671,98.40%,120,17.90%,110,91.70%

,November,721,723,10,733,98.60%,101,13.80%,93,92.10%

,December,"1,026",975,15,990,98.50%,105,10.60%,92,87.60%

,January,"1,575","1,396",10,"1,406",99.30%,150,10.70%,141,94.00%

,February,"2,231","2,045",2,"2,047",99.90%,210,10.30%,208,99.00%

,March,"2,291","2,468",3,"2,471",99.90%,170,6.90%,167,98.20%

,April,"1,479","1,682",9,"1,691",99.50%,215,12.70%,206,95.80%

,May,"1,380","1,063",6,"1,069",99.40%,115,10.80%,109,94.80%

,June,"1,181","1,429",9,"1,438",99.40%,136,9.50%,127,93.40%

,July,"1,201","1,231",11,"1,242",99.10%,133,10.70%,122,91.70%

,August,"1,052","1,019",8,"1,027",99.20%,142,13.80%,134,94.40%

,September,652,689,9,698,98.70%,116,16.60%,107,92.20%

2019 Total,,"15,509","15,380",103,"15,483",99.30%,"1,713",11.10%,"1,616",94.30%

2020,October,831,775,9,784,98.90%,127,16.20%,121,95.30%

,November,746,651,8,659,98.80%,85,12.90%,77,90.60%

,December,"1,220","1,229",11,"1,240",99.10%,105,8.50%,95,90.50%

,January,"2,060","1,720",10,"1,730",99.40%,220,12.70%,210,95.50%

,February,"2,495","2,267",12,"2,279",99.50%,193,8.50%,182,94.30%

,March,"2,612","2,563",25,"2,588",99.00%,215,8.30%,192,89.30%

,April,"1,481","1,889",24,"1,913",98.70%,187,9.80%,164,87.70%

,May,"1,243","1,139",14,"1,153",98.80%,131,11.40%,117,89.30%

,June,"1,216","1,394",6,"1,400",99.60%,132,9.40%,128,97.00%

,July,"1,340","1,352",7,"1,359",99.50%,147,10.80%,143,97.30%

,August,"1,021","1,156",6,"1,162",99.50%,99,8.50%,94,94.90%

,September,747,621,10,631,98.40%,82,13.00%,73,89.00%

2020 Total,,"17,012","16,756",142,"16,898",99.20%,"1,723",10.20%,"1,596",92.60%

2021,October,860,670,19,689,97.20%,90,13.10%,72,80.00%

,November,898,817,10,827,98.80%,95,11.50%,86,90.50%

,December,"1,537","1,364",14,"1,378",99.00%,101,7.30%,87,86.10%

,January,"2,605","2,512",25,"2,537",99.00%,189,7.40%,168,88.90%

,February,"3,005","2,944",8,"2,952",99.70%,188,6.40%,180,95.70%

,March,"2,887","3,133",18,"3,151",99.40%,263,8.30%,248,94.30%

,April,"1,744","1,820",25,"1,845",98.60%,192,10.40%,170,88.50%

,May,"1,297","1,265",18,"1,283",98.60%,128,10.00%,112,87.50%

,June,"1,547","1,453",23,"1,476",98.40%,157,10.60%,135,86.00%

,July,"1,534","1,505",14,"1,519",99.10%,147,9.70%,134,91.20%

,August,"1,404","1,415",19,"1,434",98.70%,195,13.60%,176,90.30%

,September,"1,005",947,12,959,98.70%,121,12.60%,111,91.70%

2021 Total,,"20,323","19,845",205,"20,050",99.00%,"1,866",9.30%,"1,679",90.00%

2022,October,"1,041",860,13,873,98.50%,95,10.90%,82,86.30%

,November,"1,232","1,017",21,"1,038",98.00%,111,10.70%,90,81.10%

,December,"1,599","1,662",30,"1,692",98.20%,131,7.70%,102,77.90%

,January,"3,309","3,131",36,"3,167",98.90%,147,4.60%,113,76.90%

,February,"3,769","3,633",24,"3,657",99.30%,141,3.90%,118,83.70%

,March,"3,450","3,905",20,"3,925",99.50%,248,6.30%,228,91.90%

,April,"1,829","1,821",14,"1,835",99.20%,108,5.90%,97,89.80%

,May,"1,743","1,700",24,"1,724",98.60%,99,5.70%,76,76.80%

,June,"1,769","1,640",17,"1,657",99.00%,107,6.50%,91,85.00%

,July,"1,699","1,684",13,"1,697",99.20%,104,6.10%,93,89.40%

,August,"1,703","1,634",20,"1,654",98.80%,98,5.90%,80,81.60%

,September,"1,227",1230,11,1241,99.10%,73,5.90%,66,90.40%

2022 Total,,"24,370","23,917",243,"24,160",99.00%,"1,462",6.10%,"1,236",84.50%

2023,October,"1,305","1,226",17,"1,243",98.60%,89,7.20%,74,83.10%

,November,"1,430","1,390",15,"1,405",98.90%,101,7.20%,88,87.10%

,December,"1,858","1,754",6,"1,760",99.70%,76,4.30%,70,92.10%

2023 Total,,"4,593","4,370",38,"4,408",99.10%,266,6.00%,232,87.20%

"Form I-129 Petition for a Nonimmigrant Worker, Temporary Non-Agricultural Worker (H-2B)",,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,

"October 1, 2016 - December 31, 2022",,,,,,,,,,

Period,,Petitions by Case Status,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9

TOTAL,,"48,660","46,844","1,038","47,882",97.80%,"7,398",15.50%,"6,450",87.20%

2017,October,235,240,30,270,88.90%,82,30.40%,53,64.60%

,November,204,198,33,231,85.70%,93,40.30%,61,65.60%

,December,561,310,33,343,90.40%,72,21.00%,40,55.60%

,January,644,754,34,788,95.70%,132,16.80%,100,75.80%

,February,"1,695","1,064",32,"1,096",97.10%,121,11.00%,89,73.60%

,March,741,"1,336",27,"1,363",98.00%,312,22.90%,286,91.70%

,April,285,283,26,309,91.60%,146,47.20%,120,82.20%

,May,151,251,23,274,91.60%,109,39.80%,86,78.90%

,June,90,104,28,132,78.80%,72,54.50%,44,61.10%

,July,748,437,11,448,97.50%,31,6.90%,21,67.70%

,August,343,538,13,551,97.60%,132,24.00%,121,91.70%

,September,415,348,17,365,95.30%,80,21.90%,63,78.80%

2017 Total,,"6,112","5,863",307,"6,170",95.00%,"1,382",22.40%,"1,084",78.40%

2018,October,232,246,40,286,86.00%,99,34.60%,59,59.60%

,November,216,183,18,201,91.00%,74,36.80%,56,75.70%

,December,529,456,19,475,96.00%,92,19.40%,73,79.30%

,January,36,111,15,126,88.10%,99,78.60%,84,84.80%

,February,22,48,5,53,90.60%,47,88.70%,43,91.50%

,March,"2,420","2,184",21,"2,205",99.00%,198,9.00%,178,89.90%

,April,427,478,10,488,98.00%,167,34.20%,158,94.60%

,May,141,246,10,256,96.10%,86,33.60%,78,90.70%

,June,"1,047",965,5,970,99.50%,91,9.40%,86,94.50%

,July,147,129,5,134,96.30%,104,77.60%,100,96.20%

,August,431,417,3,420,99.30%,47,11.20%,44,93.60%

,September,500,420,8,428,98.10%,54,12.60%,46,85.20%

2018 Total,,"6,148","5,883",159,"6,042",97.40%,"1,158",19.20%,"1,005",86.80%

2019,October,258,377,23,400,94.30%,95,23.80%,72,75.80%

,November,362,281,12,293,95.90%,53,18.10%,41,77.40%

,December,195,296,6,302,98.00%,37,12.30%,32,86.50%

,January,138,75,8,83,90.40%,32,38.60%,26,81.30%

,February,"1,748","1,635",2,"1,637",99.90%,55,3.40%,53,96.40%

,March,301,311,6,317,98.10%,110,34.70%,104,94.50%

,April,455,486,9,495,98.20%,105,21.20%,97,92.40%

,May,"2,782","2,232",16,"2,248",99.30%,125,5.60%,111,88.80%

,June,109,703,14,717,98.00%,511,71.30%,497,97.30%

,July,95,107,6,113,94.70%,57,50.40%,51,89.50%

,August,526,365,5,370,98.60%,39,10.50%,34,87.20%

,September,491,490,11,501,97.80%,72,14.40%,61,84.70%

2019 Total,,"7,460","7,358",118,"7,476",98.40%,"1,291",17.30%,"1,179",91.30%

2020,October,372,444,6,450,98.70%,68,15.10%,62,91.20%

,November,287,355,7,362,98.10%,75,20.70%,68,90.70%

,December,53,72,7,79,91.10%,36,45.60%,30,83.30%

,January,700,163,5,168,97.00%,33,19.60%,28,84.80%

,February,"1,595","1,928",6,"1,934",99.70%,147,7.60%,144,98.00%

,March,319,326,5,331,98.50%,142,42.90%,138,97.20%

,April,409,319,5,324,98.50%,51,15.70%,49,96.10%

,May,215,256,11,267,95.90%,58,21.70%,48,82.80%

,June,158,221,4,225,98.20%,74,32.90%,70,94.60%

,July,128,145,9,154,94.20%,50,32.50%,41,82.00%

,August,568,442,3,445,99.30%,34,7.60%,31,91.20%

,September,618,579,4,583,99.30%,76,13.00%,73,96.10%

2020 Total,,"5,422","5,250",72,"5,322",98.60%,844,15.90%,782,92.70%

2021,October,517,547,14,561,97.50%,114,20.30%,101,88.60%

,November,309,407,14,421,96.70%,102,24.20%,93,91.20%

,December,161,138,8,146,94.50%,68,46.60%,61,89.70%

,January,898,228,6,234,97.40%,47,20.10%,41,87.20%

,February,"1,526","2,027",2,"2,029",99.90%,111,5.50%,110,99.10%

,March,512,521,8,529,98.50%,179,33.80%,172,96.10%

,April,562,522,9,531,98.30%,130,24.50%,122,93.80%

,May,188,344,16,360,95.60%,84,23.30%,68,81.00%

,June,"2,251","2,108",30,"2,138",98.60%,151,7.10%,126,83.40%

,July,319,243,22,265,91.70%,159,60.00%,138,86.80%

,August,892,971,7,978,99.30%,66,6.70%,59,89.40%

,September,"1,025",851,17,868,98.00%,93,10.70%,78,83.90%

2021 Total,,"9,160","8,907",153,"9,060",98.30%,"1,304",14.40%,"1,169",89.60%

2022,October,371,547,30,577,94.80%,121,21.00%,93,76.90%

,November,338,327,10,337,97.00%,66,19.60%,57,86.40%

,December,190,244,11,255,95.70%,68,26.70%,59,86.80%

,January,598,283,9,292,96.90%,55,18.80%,47,85.50%

,February,"2,750","2,501",8,"2,509",99.70%,74,2.90%,69,93.20%

,March,548,906,23,929,97.50%,145,15.60%,122,84.10%

,April,726,680,11,691,98.40%,106,15.30%,96,90.60%

,May,3717,627,17,644,97.40%,82,12.70%,69,84.10%

,June,455,"3,575",24,"3,599",99.30%,255,7.10%,240,94.10%

,July,305,264,14,278,95.00%,103,37.10%,92,89.30%

,August,1625,1402,14,1416,99.00%,79,5.60%,69,87.30%

,September,766,1005,16,1021,98.40%,98,9.60%,86,87.80%

2022 Total,,"12,389","12,361",187,"12,548",98.50%,"1,252",10.00%,"1,099",87.80%

2023,October,537,547,25,572,95.60%,85,14.90%,62,72.90%

,November,343,409,12,421,97.10%,48,11.40%,41,85.40%

,December,"1,089",266,5,271,98.20%,34,12.50%,29,85.30%

2023 Total,,"1,969","1,222",42,"1,264",96.70%,167,13.20%,132,79.00%

"Form I-129 Petition for a Nonimmigrant Worker, Intracompany Transferee Executive or Manager (L-1A) Intercompany Transferee Specialized Knowledge (L-1B)",,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,

"October 1, 2016 - December 31, 2022",,,,,,,,,,

Period,,Petitions by Case Status,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9

TOTAL,,"255,706","200,830","54,711","255,541",78.60%,"116,686",45.70%,"66,582",57.10%

2017,October,"3,408","2,711",456,"3,167",85.60%,958,30.20%,531,55.40%

,November,"3,427","2,904",428,"3,332",87.20%,960,28.80%,564,58.80%

,December,"3,532","2,988",507,"3,495",85.50%,"1,067",30.50%,608,57.00%

,January,"3,339","2,596",614,"3,210",80.90%,"1,142",35.60%,579,50.70%

,February,"3,546","2,795",596,"3,391",82.40%,"1,076",31.70%,542,50.40%

,March,"4,017","3,490",853,"4,343",80.40%,"1,567",36.10%,756,48.20%

,April,"3,502","2,943",737,"3,680",80.00%,"1,395",37.90%,675,48.40%

,May,"4,191","3,435",933,"4,368",78.60%,"1,697",38.90%,795,46.80%

,June,"3,934","3,110",902,"4,012",77.50%,"1,709",42.60%,827,48.40%

,July,"3,280","2,847",840,"3,687",77.20%,"1,539",41.70%,720,46.80%

,August,"3,570","3,122",925,"4,047",77.10%,"1,602",39.60%,700,43.70%

,September,"3,062","2,740",686,"3,426",80.00%,"1,290",37.70%,618,47.90%

2017 Total,,"42,808","35,681","8,477","44,158",80.80%,"16,002",36.20%,"7,915",49.50%

2018,October,"3,550","2,405",672,"3,077",78.20%,"1,370",44.50%,708,51.70%

,November,"3,307","2,313",647,"2,960",78.10%,"1,324",44.70%,690,52.10%

,December,"3,079","2,470",729,"3,199",77.20%,"1,562",48.80%,844,54.00%

,January,"3,249","2,313",749,"3,062",75.50%,"1,551",50.70%,838,54.00%

,February,"3,360","2,640",646,"3,286",80.30%,"1,298",39.50%,682,52.50%

,March,"3,731","2,954",702,"3,656",80.80%,"1,414",38.70%,727,51.40%

,April,"3,485","2,293",655,"2,948",77.80%,"1,248",42.30%,615,49.30%

,May,"3,968","2,443",708,"3,151",77.50%,"1,414",44.90%,727,51.40%

,June,"3,563","2,600",672,"3,272",79.50%,"1,460",44.60%,817,56.00%

,July,"3,387","2,157",688,"2,845",75.80%,"1,461",51.40%,788,53.90%

,August,"3,440","2,689",835,"3,524",76.30%,"1,798",51.00%,984,54.70%

,September,"3,179","2,258",723,"2,981",75.70%,"1,425",47.80%,748,52.50%

2018 Total,,"41,298","29,535","8,426","37,961",77.80%,"17,325",45.60%,"9,168",52.90%

2019,October,"3,447","2,501",773,"3,274",76.40%,"1,543",47.10%,807,52.30%

,November,"3,098","2,238",804,"3,042",73.60%,"1,634",53.70%,867,53.10%

,December,"3,326","2,183",816,"2,999",72.80%,"1,667",55.60%,876,52.50%

,January,"3,148","2,142",909,"3,051",70.20%,"1,729",56.70%,890,51.50%

,February,"3,427","1,982",770,"2,752",72.00%,"1,459",53.00%,760,52.10%

,March,"3,525","2,572",946,"3,518",73.10%,"1,771",50.30%,884,49.90%

,April,"3,374","2,349","1,026","3,375",69.60%,"1,929",57.20%,974,50.50%

,May,"4,110","2,518","1,121","3,639",69.20%,"2,103",57.80%,"1,030",49.00%

,June,"3,447","2,829","1,125","3,954",71.50%,"2,069",52.30%,981,47.40%

,July,"3,365","2,620","1,100","3,720",70.40%,"2,181",58.60%,"1,115",51.10%

,August,"3,779","2,902","1,056","3,958",73.30%,"2,115",53.40%,"1,092",51.60%

,September,"3,145","2,498","1,021","3,519",71.00%,"1,955",55.60%,970,49.60%

2019 Total,,"41,191","29,334","11,467","40,801",71.90%,"22,155",54.30%,"11,246",50.80%

2020,October,"3,546","2,507",975,"3,482",72.00%,"1,993",57.20%,"1,059",53.10%

,November,"3,081","2,093",874,"2,967",70.50%,"1,796",60.50%,957,53.30%

,December,"2,945","2,402",727,"3,129",76.80%,"1,715",54.80%,"1,008",58.80%

,January,"3,009","2,305",924,"3,229",71.40%,"1,879",58.20%,"1,015",54.00%

,February,"3,208","2,044",623,"2,667",76.60%,"1,349",50.60%,762,56.50%

,March,"2,999","2,262",742,"3,004",75.30%,"1,546",51.50%,862,55.80%

,April,"3,263","1,947",593,"2,540",76.70%,"1,330",52.40%,793,59.60%

,May,"3,412","1,894",563,"2,457",77.10%,"1,335",54.30%,802,60.10%

,June,"3,619","1,968",545,"2,513",78.30%,"1,205",48.00%,687,57.00%

,July,"3,777","1,855",518,"2,373",78.20%,"1,019",42.90%,543,53.30%

,August,"3,393","2,107",682,"2,789",75.50%,"1,584",56.80%,939,59.30%

,September,"3,816","2,559",928,"3,487",73.40%,"2,007",57.60%,"1,155",57.50%

2020 Total,,"40,068","25,943","8,694","34,637",74.90%,"18,758",54.20%,"10,582",56.40%

2021,October,"2,921","2,565",939,"3,504",73.20%,"2,164",61.80%,"1,319",61.00%

,November,"2,327","2,116",738,"2,854",74.10%,"1,733",60.70%,"1,071",61.80%

,December,"2,988","2,303",790,"3,093",74.50%,"1,862",60.20%,"1,153",61.90%

,January,"2,415","2,066",785,"2,851",72.50%,"1,754",61.50%,"1,065",60.70%

,February,"2,877","1,879",609,"2,488",75.50%,"1,494",60.00%,945,63.30%

,March,"3,990","2,606",811,"3,417",76.30%,"2,065",60.40%,"1,307",63.30%

,April,"3,639","2,318",643,"2,961",78.30%,"1,653",55.80%,"1,063",64.30%

,May,"3,619","3,028",528,"3,556",85.20%,"1,716",48.30%,"1,240",72.30%

,June,"3,980","3,479",494,"3,973",87.60%,"1,930",48.60%,"1,481",76.70%

,July,"3,659","3,251",610,"3,861",84.20%,"1,796",46.50%,"1,250",69.60%

,August,"3,707","3,875",807,"4,682",82.80%,"1,939",41.40%,"1,257",64.80%

,September,"3,287","3,405",798,"4,203",81.00%,"1,582",37.60%,"1,024",64.70%

2021 Total,,"39,409","32,891","8,552","41,443",79.40%,"21,688",52.30%,"14,175",65.40%

2022,October,"3,527","3,134",666,"3,800",82.50%,"1,552",40.80%,"1,052",67.80%

,November,"3,383","2,790",535,"3,325",83.90%,"1,374",41.30%,920,67.00%

,December,"3,419","2,744",531,"3,275",83.80%,"1,377",42.00%,919,66.70%

