,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Category and Form No.,,Description,Forms by Status and Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,1st Quarter1,,,,2nd Quarter1,,,,3rd Quarter1,,,,4th Quarter1,,,,Fiscal Year 2016 To-Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Family-Based Adjustments," 81,147 "," 71,601 "," 7,153 "," 199,422 "," 80,952 "," 73,719 "," 8,072 "," 203,650 "," 92,450 "," 69,011 "," 8,084 "," 229,028 ",,,,," 254,549 "," 214,331 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-600/600A,Orphan Petitions, 823 , 977 , 153 , 556 , 613 , 817 , 138 , 612 , 885 , 794 , 110 , 575 ,,,,," 2,321 "," 2,588 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-601A,Provisional Waivers," 12,193 "," 9,132 "," 2,024 "," 15,741 "," 12,538 "," 7,586 "," 1,645 "," 19,331 "," 13,543 "," 4,872 "," 1,586 "," 27,317 ",,,,," 38,274 "," 21,590 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-751,Remove Conditions on Residence," 35,536 "," 32,246 "," 1,725 "," 122,558 "," 37,944 "," 30,275 "," 2,249 "," 127,140 "," 35,741 "," 39,672 "," 2,129 "," 120,903 ",,,,," 109,221 "," 102,193 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-800/800A,Convention Country Adoptions," 2,174 "," 2,117 ", 56 , 565 ," 1,946 "," 1,791 ", 42 , 719 ," 2,144 "," 2,167 ", 46 , 688 ,,,,," 6,264 "," 6,075 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Employment Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-129,Nonimmigrant Worker Petitions," 92,227 "," 92,985 "," 20,469 "," 126,900 "," 99,778 "," 112,587 "," 26,368 "," 109,069 "," 202,976 "," 146,442 "," 24,351 "," 168,729 ",,,,," 394,981 "," 352,014 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-140,Immigrant Petitions for Workers," 32,739 "," 24,395 "," 1,736 "," 43,509 "," 34,234 "," 34,341 "," 2,085 "," 43,124 "," 39,933 "," 37,090 "," 2,418 "," 44,384 ",,,,," 106,906 "," 95,826 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-485,Employment-Based Adjustments," 33,828 "," 24,836 "," 1,422 "," 125,424 "," 29,953 "," 29,352 "," 1,728 "," 124,587 "," 34,332 "," 35,420 "," 1,856 "," 120,828 ",,,,," 98,113 "," 89,608 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-526,Petitions by Entrepreneurs," 6,277 "," 1,257 ", 372 ," 21,988 ", 848 ," 1,864 ", 637 ," 20,235 "," 1,513 "," 1,660 ", 433 ," 19,406 ",,,,," 8,638 "," 4,781 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-765,Employment Authorization Documents," 447,438 "," 345,143 "," 26,665 "," 433,563 "," 437,672 "," 405,849 "," 27,723 "," 426,213 "," 552,020 "," 406,990 "," 28,685 "," 554,661 ",,,,," 1,437,130 "," 1,157,982 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-829,Remove Conditions on Entrepreneur, 821 , 812 , 10 ," 4,256 ", 845 , 421 , 12 ," 4,712 ", 905 , 306 , 74 ," 5,522 ",,,,," 2,571 "," 1,539 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-924/924A,Regional Center Applications, 271 , 48 , D , 911 , 31 , 51 , 13 , 880 , 22 , 42 , 14 , 185 ,,,,, 324 , 141 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Humanitarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-485,Asylum Adjustments," 8,015 "," 7,919 ", 337 ," 25,646 "," 8,832 "," 10,620 ", 398 ," 23,143 "," 9,901 "," 9,839 ", 348 ," 22,857 ",,,,," 26,748 "," 28,378 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-485,Refugee Adjustments," 16,593 "," 10,690 ", 373 ," 37,340 "," 16,255 "," 15,458 ", 249 ," 37,807 "," 17,282 "," 18,486 ", 293 ," 35,058 ",,,,," 50,130 "," 44,634 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-485,Indo Chinese Adjustments , -   , D , D , D , -   , D , -   , D , -   , -   , -   , D ,,,,, -   , D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-485,Cuban Adjustment Act," 12,735 "," 15,706 ", 477 ," 24,960 "," 14,784 "," 13,640 ", 515 ," 25,724 "," 14,720 "," 12,111 ", 490 ," 28,362 ",,,,," 42,239 "," 41,457 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-589,Asylum Application," 26,068 "," 2,513 ", 40 ," 128,307 "," 26,312 "," 2,151 ", 26 ," 147,552 "," 31,025 "," 2,524 ", 30 ," 170,354 ",,,,," 83,405 "," 7,188 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,Legalization6,Legalization/ SAW, 22 , 14 , 35 , 282 , 33 , 14 , 38 , 280 , 28 , 12 , 34 , 250 ,,,,, 83 , 40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-730,Refugee/Asylee Relative Petitions," 3,979 "," 3,418 ", 629 ," 10,517 "," 3,183 "," 4,431 ", 846 ," 9,189 "," 3,392 "," 3,254 ", 826 ," 8,740 ",,,,," 10,554 "," 11,103 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-817,Family Unity Applications, 173 , 240 , 30 , 589 , 204 , 382 , 15 , 404 , 269 , 340 , 22 , 303 ,,,,, 646 , 962 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-821,Temporary Protected Status," 47,025 "," 19,199 "," 2,485 "," 54,094 "," 4,299 "," 24,192 "," 2,058 "," 32,530 "," 39,987 "," 22,455 "," 1,402 "," 48,559 ",,,,," 91,311 "," 65,846 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-821D,Deferred Action for Childhood Arrivals," 47,376 "," 55,886 "," 4,143 "," 57,284 "," 50,303 "," 39,435 "," 3,313 "," 64,839 "," 86,165 "," 28,845 "," 3,770 "," 118,326 ",,,,," 183,844 "," 124,166 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-867,Credible Fear Referral," 21,492 ", N/A , N/A ," 3,220 "," 18,898 ", N/A , N/A ," 3,049 "," 24,729 ", N/A , N/A ," 5,166 ",,,,," 65,119 ", N/A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-881,NACARA 203 Applications, 153 , 104 , 21 , 299 , 161 , 81 , 14 , 443 , 184 , 123 , D , 411 ,,,,, 498 , 308 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-889,Reasonable Fear," 2,153 ", N/A , N/A , 268 ," 2,325 ", N/A , N/A , 308 ," 2,512 ", N/A , N/A , 347 ,,,,," 6,990 ", N/A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-914,T Nonimmigrant Status Applications, 434 , 433 , 95 ," 1,614 ", 380 , 383 , 83 ," 1,577 ", 463 , 526 , 97 ," 1,456 ",,,,," 1,277 "," 1,342 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-918,U Nonimmigrant Status Applications," 14,453 "," 16,040 ", 297 ," 108,623 "," 14,326 ", 670 , 931 ," 121,659 "," 15,335 ", 604 , 999 ," 135,641 ",,,,," 44,114 "," 17,314 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-929,Petitions for Family of U Nonimmigrants, 244 , 203 , 16 , 921 , 240 , 222 , 20 , 928 , 257 , 161 , 20 ," 1,007 ",,,,, 741 , 586 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Citizenship and Nationality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,N-300,Declaration of Intent, D , D , -   , D , D , 13 , -   , D , D , 11 , -   , D ,,,,, 24 , 33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,N-336,Requests for Hearing," 1,108 ", 625 , 463 ," 3,104 "," 1,091 ", 754 , 511 ," 3,004 "," 1,328 ", 678 , 587 ," 3,105 ",,,,," 3,527 "," 2,057 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,N-400,Military Naturalization," 2,169 "," 1,850 ", 139 ," 3,982 "," 2,524 "," 2,285 ", 124 ," 4,326 "," 2,802 "," 2,135 ", 155 ," 3,731 ",,,,," 7,495 "," 6,270 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,N-400,Non-Military Naturalization," 185,466 "," 155,129 "," 19,051 "," 384,850 "," 249,730 "," 175,428 "," 19,565 "," 442,219 "," 283,234 "," 186,864 "," 20,806 "," 520,283 ",,,,," 718,430 "," 517,421 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,N-470,Preserve Residence for Naturalization, 52 , 42 , 24 , 239 , 49 , 39 , 27 , 123 , 53 , 56 , 40 , 80 ,,,,, 154 , 137 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,N-565,Replace Naturalization/Citizenship Certificates," 6,471 "," 6,261 "," 1,283 "," 19,332 "," 7,591 "," 6,443 "," 1,162 "," 19,587 "," 6,745 "," 10,741 "," 1,371 "," 14,175 ",,,,," 20,807 "," 23,445 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,N-600/600K,Recognition of Citizenship Applications," 14,610 "," 15,568 "," 1,164 "," 32,056 "," 18,595 "," 15,479 "," 1,546 "," 34,165 "," 20,130 "," 16,970 "," 1,636 "," 35,689 ",,,,," 53,335 "," 48,017 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,N-644,Posthumous Naturalization, -   , -   , -   , -   , -   , D , -   , -   , -   , -   , -   , -   ,,,,, N/A , D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,N-648,Disability Exception Applications," 2,207 "," 2,806 "," 1,448 "," 2,572 "," 2,160 "," 3,230 "," 1,641 "," 2,534 "," 2,520 "," 3,062 "," 1,830 "," 2,384 ",,,,," 6,887 "," 9,098 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-90,Renew/Replace Permanent Resident Cards," 155,739 "," 161,946 "," 3,762 "," 323,366 "," 225,535 "," 146,612 "," 13,045 "," 396,336 "," 194,656 "," 167,326 "," 11,095 "," 424,814 ",,,,," 575,930 "," 475,884 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-102,Replace I-94s," 1,635 "," 1,086 ", 425 ," 3,465 "," 1,946 "," 1,579 ", 460 ," 3,514 "," 2,089 "," 1,333 ", 697 ," 3,300 ",,,,," 5,670 "," 3,998 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-131,Reentry Permit/Refugee Travel Document," 17,900 "," 23,111 "," 1,002 "," 24,100 "," 21,351 "," 22,265 "," 1,275 "," 22,411 "," 25,278 "," 14,409 ", 825 ," 32,140 ",,,,," 64,529 "," 59,785 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-131,Advance Parole," 84,993 "," 80,396 "," 6,303 "," 74,266 "," 88,508 "," 92,600 "," 6,598 "," 66,495 "," 92,847 "," 81,758 "," 6,108 "," 71,224 ",,,,," 266,348 "," 254,754 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-193,Passport/Visa Waiver Applications, 58 , 134 , 13 , 640 , 55 , 10 , D , 680 , 52 , D , 11 , 715 ,,,,, 165 , 150 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-360,Immigrant Petitions," 10,089 "," 6,133 ", 804 ," 15,411 "," 9,099 "," 7,418 ", 994 ," 16,689 "," 10,604 "," 9,444 ", 892 ," 17,512 ",,,,," 29,792 "," 22,995 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-485,Other Adjustments of Status," 7,956 "," 5,924 ", 868 ," 23,803 "," 8,116 "," 7,406 "," 1,091 "," 23,176 "," 8,845 "," 8,336 ", 913 ," 22,731 ",,,,," 24,917 "," 21,666 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-539,Applications to Extend/ Change Nonimmigrant Status," 48,593 "," 41,819 "," 8,785 "," 81,046 "," 47,514 "," 54,839 "," 10,480 "," 65,133 "," 59,475 "," 61,503 "," 11,016 "," 55,483 ",,,,," 155,582 "," 158,161 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,I-824,Action on Approved Applications or Petitions," 2,847 "," 2,746 ", 712 ," 4,788 "," 2,384 "," 3,422 ", 616 ," 3,244 "," 2,864 "," 2,676 ", 466 ," 2,990 ",,,,," 8,095 "," 8,844 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,Waivers8,Waivers," 17,504 "," 18,670 "," 1,599 "," 102,737 "," 17,101 "," 5,313 "," 2,106 "," 114,059 "," 18,689 "," 6,372 "," 1,905 "," 126,296 ",,,,," 53,294 "," 30,355 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,," 5,745,173 "," 4,586,993 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"D  Data withheld to protect applicants' privacy. Does not apply to Form N-644, Posthumous Naturalization.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"N  Not captured.  Credible and Reasonable Fear screenings (and their respective forms I-867 and I-899) do not confer an immigration benefit, rather they are intended to identify individuals with viable protection claims, which are then referred to the Immigration Courts for adjudication.  Asylum Officers ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

          do not adjudicate the actual asylum applications during the screening process.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

- Represents zero.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

1  Fiscal year begins October 1 and ends September 30 of the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2  The number of new forms received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

3  The number of forms approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"4   The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

5   The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"6  Includes the following applications for persons applying for benefits under the Immigration Reform and Control Act of 1986:  Forms I-687, I-700. I-698, I-690, I-694, and I-695.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"7  Includes the following applications filed to waive exclusionary grounds:  Forms I-191, I-192, I-212, I-601, I-602, and I-612.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

NOTE:  1) Some processed forms may have been received in previous reporting periods. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

             2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Source:  All Forms Except I-589 and I-881 - Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool (PRT), USCIS Electronic Immigration System (ELIS) and C3 Consolidated, June 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"                I-589 and I-881 data was provided by the Directorate of Refugee, Asylum and International Operations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
