"Form I-129 Petition for a Nonimmigrant Worker, Intercompany Transferee Specialized Knowledge (L-1B)",,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,

"October 1, 2016 - March 31, 2023",,,,,,,,,,

Period,,Petitions by Case Status,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9
2019,October,"1,256",872,339,"1,211",72.00%,575,47.50%,252,43.80%

,November,"1,136",744,298,"1,042",71.40%,538,51.60%,258,48.00%

,December,"1,230",718,350,"1,068",67.20%,598,56.00%,258,43.10%

,January,"1,108",663,422,"1,085",61.10%,643,59.30%,262,40.70%

,February,"1,247",621,355,976,63.60%,565,57.90%,244,43.20%

,March,"1,219",887,401,"1,288",68.90%,644,50.00%,269,41.80%

,April,"1,148",703,427,"1,130",62.20%,703,62.20%,305,43.40%

,May,"1,475",750,442,"1,192",62.90%,729,61.20%,305,41.80%

,June,"1,172",999,491,"1,490",67.00%,741,49.70%,265,35.80%

,July,"1,253",864,479,"1,343",64.30%,798,59.40%,326,40.90%

,August,"1,514","1,052",450,"1,502",70.00%,792,52.70%,353,44.60%

,September,"1,186",840,471,"1,311",64.10%,741,56.50%,288,38.90%

2019 Total,,"14,944","9,713","4,925","14,638",66.40%,"8,067",55.10%,"3,385",42.00%

2020,October,"1,298",793,402,"1,195",66.40%,703,58.80%,318,45.20%

,November,"1,105",671,379,"1,050",63.90%,647,61.60%,286,44.20%

,December,950,780,323,"1,103",70.70%,640,58.00%,327,51.10%

,January,"1,049",728,427,"1,155",63.00%,734,63.50%,340,46.30%

,February,"1,073",694,251,945,73.40%,484,51.20%,246,50.80%

,March,968,678,298,976,69.50%,548,56.10%,272,49.60%

,April,"1,032",602,250,852,70.70%,459,53.90%,237,51.60%

,May,"1,114",576,248,824,69.90%,501,60.80%,260,51.90%

,June,"1,221",524,244,768,68.20%,445,57.90%,212,47.60%

,July,"1,283",443,228,671,66.00%,375,55.90%,164,43.70%

,August,"1,133",590,274,864,68.30%,554,64.10%,297,53.60%

,September,"1,182",837,384,"1,221",68.60%,700,57.30%,339,48.40%

2020 Total,,"13,408","7,916","3,708","11,624",68.10%,"6,790",58.40%,"3,298",48.60%

2021,October,"1,007",786,378,"1,164",67.50%,769,66.10%,419,54.50%

,November,769,674,308,982,68.60%,610,62.10%,336,55.10%

,December,999,679,312,991,68.50%,610,61.60%,324,53.10%

,January,834,633,336,969,65.30%,639,65.90%,344,53.80%

,February,945,558,264,822,67.90%,544,66.20%,310,57.00%

,March,"1,342",810,348,"1,158",69.90%,778,67.20%,451,58.00%

,April,"1,234",710,290,"1,000",71.00%,614,61.40%,344,56.00%

,May,"1,236",938,219,"1,157",81.10%,595,51.40%,397,66.70%

,June,"1,432","1,104",205,"1,309",84.30%,717,54.80%,525,73.20%

,July,"1,257","1,011",254,"1,265",79.90%,662,52.30%,425,64.20%

,August,"1,302","1,362",363,"1,725",79.00%,800,46.40%,464,58.00%

,September,"1,131","1,128",262,"1,390",81.20%,607,43.70%,398,65.60%

2021 Total,,"13,488","10,393","3,539","13,932",74.60%,"7,945",57.00%,"4,737",59.60%

2022,October,"1,219","1,070",242,"1,312",81.60%,598,45.60%,394,65.90%

,November,"1,160",925,218,"1,143",80.90%,511,44.70%,319,62.40%

,December,"1,155",939,232,"1,171",80.20%,568,48.50%,361,63.60%

,January,"1,032",936,318,"1,254",74.60%,625,49.80%,368,58.90%

,February,"1,059","1,127",345,"1,472",76.60%,543,36.90%,305,56.20%

,March,"1,502","1,373",355,"1,728",79.50%,612,35.40%,342,55.90%

,April,"1,311","1,251",218,"1,469",85.20%,472,32.10%,287,60.80%

,May,"1,309","1,047",215,"1,262",83.00%,508,40.30%,321,63.20%

,June,"1,225","1,004",208,"1,212",82.80%,473,39.00%,293,61.90%

,July,"1,121",847,229,"1,076",78.70%,527,49.00%,315,59.80%

,August,"1,340","1,123",232,"1,355",82.90%,565,41.70%,361,63.90%

,September,"1,190","1,400",241,"1,641",85.30%,519,31.60%,317,61.10%

2022 Total,,"14,623","13,042","3,053","16,095",81.00%,"6,521",40.50%,"3,983",61.10%

2023,October,"1,173","1,179",211,"1,390",84.80%,524,37.70%,333,63.50%

,November,"1,016",991,257,"1,248",79.40%,604,48.40%,357,59.10%

,December,"1,018",822,192,"1,014",81.10%,478,47.10%,292,61.10%

,January,913,854,212,"1,066",80.10%,511,47.90%,306,59.90%

,February,"1,002",768,135,903,85.00%,385,42.60%,258,67.00%

,March,"1,034","1,096",202,"1,298",84.40%,471,36.30%,273,58.00%

2023 Total,,"6,156","5,710","1,209","6,919",82.50%,"2,973",43.00%,"1,819",61.20%

References:,,,,,,,,,,

1 The number of new petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,

"2 The number of petitions approved during the reporting period. Only initial decisions are considered. Subsequent decisions are excluded (Revocation, Remands, etc.) ",,,,,,,,,,

"3 The number of petitions denied during the reporting period. Only initial decisions are considered. Subsequent decisions are excluded (Revocation, Remands, etc.) ",,,,,,,,,,

4 The number of petitions approved and denied during the reporting period.,,,,,,,,,,

5 The percentage of petitions approved out of total completions.,,,,,,,,,,

6 The number of completions that had a Request for Evidence (RFE). ,,,,,,,,,,

7 The percentage of completions with an RFE out of total completions. ,,,,,,,,,,

8 The number of petitions with an RFE that were approved.,,,,,,,,,,

9 The percentage of petitions with an RFE that were approved out of all completions with an RFE.,,,,,,,,,,

Notes:,,,,,,,,,,

"1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,

2) Petitions may have been received in a different time period from the one in which a RFE was ordered.,,,,,,,,,,

3) Petitions with multiple RFEs are only counted once.,,,,,,,,,,

4) The report reflects the most up-to-date data available at the time the database is queried.,,,,,,,,,,

5) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,

6) The L1 Report includes all petitions not able to be assigned as an L1A or L1B class. ,,,,,,,,,,

7) All reports include all I-129 receipts including both initial and extension filings. ,,,,,,,,,,

8) The L1A and L1B report do not include counts for blanket L filings or unassigned L1 filings. ,,,,,,,,,,

Sources:,,,,,,,,,,

"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,

"CLAIMS3 and ELIS, queried 04/2023, TRK 11595",,,,,,,,,,
