"Number of Service-wide Forms by Fiscal Year To-Date, Quarter, and Form Status 2014",,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,

,,,Forms by Status and Period,,,,,,,,,,,,,,,,,
,I-829,Remove Conditions on Entrepreneur,370,159,43,"1,508",502,297,75,"1,637",667,505,12,"1,787",,,,,"1,539",961

,I-924,Regional Center Applications,392,67,11,599,100,58, D ,212,64,98, D ,239,,,,,556,223

Humanitarian,,,,,,,,,,,,,,,,,,,,

,I-485,Asylum Adjustments,"10,581","8,213",357,"19,663","10,426","11,073",351,"18,661","11,872","9,388",368,"20,493",,,,,"32,879","28,674"

,I-485,Refugee Adjustments,"18,067","12,987",364,"27,053","16,500","14,353",431,"28,420","19,021","14,789",335,"32,503",,,,,"53,588","42,129"

,I-485,Cuban Adjustment Act,"10,441","10,091",431,"26,942","12,660","9,767",551,"29,494","12,197","12,442",613,"28,582",,,,,"35,298","32,300"

,I-589,Asylum Application,"11,668","2,418",100,"38,892","12,461","2,673",138,"45,193","15,640","3,616",173,"51,855",,,,,"39,769","8,707"

,Legalization6,Legalization/ SAW,54,36,68,467,28,37,91,412,33,53,86,373,,,,,115,126

,I-730,Refugee/Asylee Relative Petitions,"4,139","3,706",700,"7,837","4,236","3,385",694,"8,402","4,062","2,482",750,"9,341",,,,,"12,437","9,573"

,I-817,Family Unity Applications,441,306, D ,738,606,205,16,"1,117",572,308,11,"1,384",,,,,"1,619",819

,I-821,Temporary Protected Status,"2,703","39,661","2,292","13,119","6,692","6,450","2,590","10,360","41,163","25,521","1,172","24,252",,,,,"50,558","71,632"

,I-821D,Deferred Action for Childhood Arrivals,"31,101","47,634","4,684","73,557","31,804","31,482","4,374","69,505","42,626","27,729","3,687","80,715",,,,,"105,531","106,845"

,I-867,Credible Fear Referral,"10,786", N , N ,857,"9,607", N , N ,"1,034","15,941",N,N,"1,636",,,,,"36,334", -   

,I-881,NACARA 203 Applications,198,108,13,938,196,205,18,941,216,389,44,749,,,,,610,702

,I-899,Reasonable Fear,"2,235", N , N ,"1,688","1,921", N , N ,"1,365","2,452",N,N,"1,342",,,,,"6,608", -   

,I-914,T Nonimmigrant Status Applications,409,336,47,998,508,317,58,"1,136",472,251,60,"1,304",,,,,"1,389",904

,I-918,U Nonimmigrant Status Applications,"10,651","16,578","1,116","51,536","10,194","1,106","2,245","58,510","11,810",531,"1,881","68,195",,,,,"32,655","18,215"

,I-929,Petitions for Family of U Nonimmigrants,145,71, D ,320,146,91,10,366,186,87, D ,457,,,,,477,249

Citizenship and Nationality,,,,,,,,,,,,,,,,,,,,

,N-300,Declaration of Intent, D , D , -   ,13, D , D , D , D , D , D , D ,13,,,,, -   , -   

,N-336,Requests for Hearing,"1,156",576,482,"2,866","1,052",640,465,"2,857","1,099",630,486,"2,770",,,,,"3,307","1,846"

,N-400,Military Naturalization,"2,204","2,124",241,"3,004","2,665","2,177",247,"3,470","2,662","2,407",213,"4,102",,,,,"7,531","6,708"

,N-400,Non-Military Naturalization,"155,582","154,902","17,311","293,247","199,391","149,339","16,419","331,469","231,669","153,867","15,639","401,581",,,,,"586,642","458,108"

,N-470,Preserve Residence for Naturalization,80,11, D ,594,72,18,36,611,82,119,95,493,,,,,234,148

,N-565,Replace Naturalization/Citizenship Certificates,"5,946","6,203",851,"6,265","7,629","4,032",581,"9,384","7,511","2,923",484,"13,231",,,,,"21,086","13,158"

,N-600/600K,Recognition of Citizenship Applications,"13,714","15,489","1,481","29,672","15,436","13,564","1,526","30,807","17,215","15,043","1,478","30,947",,,,,"46,365","44,096"

,N-644,Posthumous Naturalization, -   , -   , -   ,4, -   , -   ,2,4, -   , -   , -   ,4,,,,, -   , -   

,N-648,Disability Exception Applications,"4,417","4,581","2,051","2,228","4,405","4,560","1,989","2,496","2,701","3,063","1,579","2,879",,,,,"11,523","12,204"

Other,,,,,,,,,,,,,,,,,,,,

,I-90,Renew/Replace Permanent Resident Cards,"150,435","96,133","8,077","404,452","225,383","113,711","7,197","510,240","210,794","189,684","9,561","527,806",,,,,"586,612","399,528"

,I-102,Replace I-94s,"2,385","2,255",486,"2,986","2,533","2,235",537,"2,909","2,558","1,991",541,"2,993",,,,,"7,476","6,481"

,I-131,Reentry Permit/Refugee Travel Document,"18,478","12,733","1,154","23,998","21,013","13,051","1,105","30,908","24,961","19,354",899,"35,750",,,,,"64,452","45,138"

,I-131,Advance Parole,"67,474","66,772","2,733","40,539","74,002","56,868","3,432","54,975","72,709","58,792","7,885","63,410",,,,,"214,185","182,432"

,I-193,Passport/Visa Waiver Applications,79,148,15,551,89,41,30,567,66, D ,18,611,,,,,234,189

,I-360,Immigrant Petitions,"4,472","5,114","1,926","11,588","4,790","4,230","1,547","11,356","5,882","3,690","1,196","13,029",,,,,"15,144","13,034"

,I-485,Other Adjustments of Status,"6,511","4,617",853,"17,580","6,578","6,051",953,"15,779","7,679","6,815",873,"17,209",,,,,"20,768","17,483"

,I-5397,Applications to Extend/ Change Nonimmigrant Status,"39,976","39,498","7,121","44,643","39,984","42,800","7,729","41,732","49,368","42,942","7,989","47,824",,,,,"129,328","125,240"

,I-824,Action on Approved Applications or Petitions,"3,072","3,372",682,"3,174","2,807","2,475",550,"2,968","3,166","2,064",405,"3,820",,,,,"9,045","7,911"

,Waivers8,Waivers,"15,558","19,432","2,141","57,969","15,004","7,655","3,091","61,882","16,691","8,121","3,046","69,441",,,,,"47,253","35,208"

,,,,,,,,,,,,,,,,,,,,

"D  Data withheld to protect applicants' privacy. Does not apply to Form N-644, Posthumous Naturalization.",,,,,,,,,,,,,,,,,,,,

"N  Not captured.  Credible and Reasonable Fear screenings (and their respective forms I-867 and I-899) do not confer an immigration benefit, rather they are intended to identify individuals with viable protection claims, which are then referred to the Immigration Courts for adjudication.  Asylum Officers do not adjudicate the actual asylum applications during the screening process.",,,,,,,,,,,,,,,,,,,,

"""-"" Represents zero.",,,,,,,,,,,,,,,,,,,,

1  Fiscal year begins October 1 and ends September 30 of the reporting period.,,,,,,,,,,,,,,,,,,,,

2  The number of new forms received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,

3  The number of forms approved during the reporting period.,,,,,,,,,,,,,,,,,,,,

"4   The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,

5   The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,

"6  Includes the following applications for persons applying for benefits under the Immigration Reform and Control Act of 1986:  Forms I-687, I-700. I-698, I-690, I-694, and I-695.",,,,,,,,,,,,,,,,,,,,

7  Includes applications submitted using the USCIS Electronic Immigration System (USCIS ELIS).,,,,,,,,,,,,,,,,,,,,

"8  Includes the following applications filed to waive exclusionary grounds:  Forms I-191, I-192, I-212, I-601, I-602, and I-612.",,,,,,,,,,,,,,,,,,,,

NOTE:  1) Some processed forms may have been received in previous reporting periods. ,,,,,,,,,,,,,,,,,,,,

             2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,

"Source:  All Forms Except I-589 , I-881, I-867, and I-889 - Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS), July 2014",,,,,,,,,,,,,,,,,,,,

"               I-589 , I-881, I-867, and I-889 data was provided by the Directorate of Refugee, Asylum and International Operations",,,,,,,,,,,,,,,,,,,,
