,,,,,,,,,,,,,,,,,

USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,,,

,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,,,
Colorado,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Denver ,DEN, 894 , 393 , 56 ," 3,744 ", D , D , D , 19 , 899 , 397 , 61 ," 3,763 ",,,

Connecticut,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Hartford ,HAR, 740 , 437 , 111 ," 2,657 ", D , D , D , 59 , 743 , 445 , 113 ," 2,716 ",,,

   Delaware,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Dover,DVD, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,

District of Columbia,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Washington ,WAS," 1,061 ", 862 , 71 ," 4,770 ", D , 16 , D , 96 ," 1,062 ", 878 , 77 ," 4,866 ",,,

Florida,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Hialeah,HIA, 559 , 373 , 37 ," 2,465 ", D , D , D , 35 , 563 , 380 , 41 ," 2,500 ",,,

,Jacksonville,JAC, 331 , 335 , 30 ," 1,003 ", D , D , -   , 18 , 332 , 339 , 30 ," 1,021 ",,,

,Kendall,KND, 419 , 304 , 49 ," 1,876 ", D , D , D , 37 , 422 , 308 , 50 ," 1,913 ",,,

,Miami ,MIA, 987 , 308 , 58 ," 5,777 ", D , D , D , 82 , 992 , 313 , 62 ," 5,859 ",,,

,Fort Myers,OFM, 295 , 163 , 11 ," 1,543 ", D , D , -   , 33 , 298 , 164 , 11 ," 1,576 ",,,

,Oakland Park,OKL," 1,216 ", 444 , 60 ," 6,821 ", D , D , D , 56 ," 1,217 ", 449 , 62 ," 6,877 ",,,

,Orlando ,ORL," 1,069 ", 711 , 90 ," 4,787 ", D , 10 , D , 96 ," 1,073 ", 721 , 94 ," 4,883 ",,,

,Tampa,TAM, 785 , 888 , 83 ," 2,293 ", D , D , D , 31 , 788 , 891 , 84 ," 2,324 ",,,

,West Palm Beach,WPB, 739 , 514 , 88 ," 3,348 ", D , D , -   , 72 , 741 , 519 , 88 ," 3,420 ",,,

Georgia,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Atlanta ,ATL," 1,796 "," 1,197 ", 100 ," 7,859 ", D , 23 , D , 124 ," 1,800 "," 1,220 ", 103 ," 7,983 ",,,

Hawaii,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Honolulu ,HHW, 229 , 66 , 18 ," 1,011 ", D , D , D , D , 231 , 72 , 19 ," 1,016 ",,,

Idaho,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Boise ,BOI, 123 , 288 , D , 429 , -   , -   , -   , D , 123 , 288 , D , 434 ,,,

,,,,,,,,,,,,,,,,,

Illinois,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Chicago ,CHI," 2,427 "," 1,921 ", 148 ," 8,880 ", D , 18 , D , 442 ," 2,435 "," 1,939 ", 151 ," 9,322 ",,,

Indiana,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Indianapolis ,INP, 469 , 416 , 70 ," 1,234 ", -   , -   , -   , 28 , 469 , 416 , 70 ," 1,262 ",,,

Iowa,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Des Moines,DSM, 132 , 178 , 11 , 512 , D , D , -   , 12 , 133 , 179 , 11 , 524 ,,,

Kansas,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Wichita,WIC, 165 , 88 , D , 561 , D , D , -   , D , 167 , 89 , D , 565 ,,,

Kentucky,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Louisville ,LOU, 230 , 212 , 21 , 576 , D , D , D , 35 , 231 , 213 , 24 , 611 ,,,

Louisiana,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,New Orleans ,NOL, 379 , 355 , 28 ," 1,546 ", -   , D , D , 52 , 379 , 361 , 29 ," 1,598 ",,,

Maine,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Portland ,POM, 64 , 124 , D , 158 , -   , -   , -   , -   , 64 , 124 , D , 158 ,,,

Maryland,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Baltimore ,BAL," 1,358 "," 1,233 ", 76 ," 6,486 ", 11 , 19 , D , 257 ," 1,369 "," 1,252 ", 79 ," 6,743 ",,,

Massachusetts,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Boston ,BOS," 1,600 ", 777 , 125 ," 4,909 ", D , D , D , 105 ," 1,601 ", 784 , 130 ," 5,014 ",,,

,Lawrence,LAW, 557 , 376 , 46 ," 1,550 ", D , D , D , 34 , 558 , 385 , 52 ," 1,584 ",,,

Michigan,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Detroit ,DET, 671 , 916 , 94 ," 1,768 ", D , 43 , D , 135 , 676 , 959 , 99 ," 1,903 ",,,

Minnesota,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,St. Paul ,SPM, 598 , 416 , 31 ," 3,492 ", D , D , -   , 55 , 602 , 419 , 31 ," 3,547 ",,,

Missouri,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Kansas City ,KAN, 342 , 451 , 30 , 817 , D , D , -   , 20 , 344 , 460 , 30 , 837 ,,,

,St. Louis ,STL, 194 , 211 , 24 , 641 , -   , -   , D , 36 , 194 , 211 , 25 , 677 ,,,

Montana,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Helena ,HEL, 50 , 145 , D , 174 , -   , -   , -   , -   , 50 , 145 , D , 174 ,,,

Nebraska,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Omaha ,OMA, 138 , 201 , 25 , 504 , -   , D , -   , 13 , 138 , 204 , 25 , 517 ,,,

Nevada,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Las Vegas ,LVG, 710 , 491 , 64 ," 2,858 ", D , D , -   , 24 , 712 , 494 , 64 ," 2,882 ",,,

,Reno ,REN, 116 , 139 , 10 , 578 , -   , -   , -   , D , 116 , 139 , 10 , 580 ,,,

New Hampshire,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Manchester ,MAN, 95 , 101 , 11 , 285 , -   , D , -   , D , 95 , 104 , 11 , 287 ,,,

New Jersey,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Mount Laurel,MTL, 546 , 574 , 47 ," 1,654 ", -   , 11 , 10 , 32 , 546 , 585 , 57 ," 1,686 ",,,

,Newark ,NEW," 2,631 "," 2,051 ", 278 ," 11,330 ", D , 16 , 18 , 86 ," 2,636 "," 2,067 ", 296 ," 11,416 ",,,

New Mexico,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Albuquerque ,ABQ, 197 , 306 , D , 448 , -   , 10 , -   , D , 197 , 316 , D , 453 ,,,

New York,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Albany ,ALB, 133 , 72 , D , 466 , -   , D , -   , 28 , 133 , 79 , D , 494 ,,,

,Brooklyn,BNY," 1,904 "," 1,017 ", 139 ," 10,652 ", D , 27 , D , 293 ," 1,907 "," 1,044 ", 141 ," 10,945 ",,,

,Buffalo ,BUF, 207 , 181 , 57 , 673 , -   , D , D , 71 , 207 , 188 , 58 , 744 ,,,

,Long Island,LNY, 792 ," 1,224 ", 64 ," 3,627 ", -   , D , -   , 56 , 792 ," 1,227 ", 64 ," 3,683 ",,,

,New York ,NYC," 2,606 "," 1,892 ", 136 ," 14,890 ", 12 , 30 , D , 464 ," 2,618 "," 1,922 ", 137 ," 15,354 ",,,

,Queens,QNS," 1,816 "," 1,144 ", 134 ," 8,993 ", D , 36 , D , 152 ," 1,817 "," 1,180 ", 141 ," 9,145 ",,,

North Carolina,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Charlotte ,CLT, 528 , 558 , 42 ," 1,475 ", D , 11 , D , 12 , 529 , 569 , 44 ," 1,487 ",,,

,Raleigh,RAL, 569 , 403 , 13 ," 1,433 ", D , D , -   , 33 , 570 , 406 , 13 ," 1,466 ",,,

,,,,,,,,,,,,,,,,,

Ohio,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Cincinnati ,CIN, 186 , 170 , 31 , 576 , -   , -   , D , D , 186 , 170 , 32 , 578 ,,,

,Cleveland ,CLE, 274 , 311 , 30 , 561 , -   , D , D , D , 274 , 313 , 31 , 568 ,,,

,Columbus,CLM, 268 , 237 , 37 , 708 , -   , D , D , D , 268 , 241 , 38 , 713 ,,,

Oklahoma,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Oklahoma City ,OKC, 353 , 329 , 18 ," 1,145 ", -   , 12 , -   , 12 , 353 , 341 , 18 ," 1,157 ",,,

Oregon,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Portland ,POO, 498 , 587 , 28 ," 1,292 ", -   , D , D , 13 , 498 , 590 , 29 ," 1,305 ",,,

Pennsylvania,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Philadelphia,PHI," 1,236 ", 837 , 137 ," 4,977 ", D , D , D , 95 ," 1,244 ", 844 , 139 ," 5,072 ",,,

,Pittsburgh ,PIT, 233 , 197 , D , 591 , -   , D , -   , D , 233 , 199 , D , 595 ,,,

Rhode Island,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Providence ,PRO, 240 , 438 , 56 , 714 , -   , D , D , D , 240 , 440 , 58 , 718 ,,,

South Carolina,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Charleston ,CHL, 253 , 253 , 27 , 649 , -   , 12 , D , 10 , 253 , 265 , 30 , 659 ,,,

,Greer,GRR, 144 , 119 , D , 353 , D , D , -   , D , 145 , 120 , D , 356 ,,,

Tennessee,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Memphis ,MEM, 474 , 404 , 33 ," 2,049 ", -   , D , -   , 74 , 474 , 411 , 33 ," 2,123 ",,,

Texas,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Dallas ,DAL," 2,481 "," 1,636 ", 121 ," 11,530 ", D , 18 , D , 253 ," 2,482 "," 1,654 ", 125 ," 11,783 ",,,

,El Paso ,ELP, 603 , 846 , 56 ," 1,895 ", D , D , D , D , 604 , 847 , 58 ," 1,899 ",,,

,Harlingen ,HLG, 582 , 578 , 22 ," 2,465 ", D , D , D , 14 , 584 , 586 , 24 ," 2,479 ",,,

,Houston ,HOU," 2,776 "," 1,880 ", 148 ," 14,572 ", D , 24 , -   , 79 ," 2,779 "," 1,904 ", 148 ," 14,651 ",,,

,San Antonio ,SNA," 1,424 "," 1,148 ", 53 ," 5,298 ", D , 17 , D , 24 ," 1,429 "," 1,165 ", 54 ," 5,322 ",,,

Utah,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Salt Lake City ,SLC, 569 , 346 , 29 ," 2,032 ", D , -   , -   , 11 , 571 , 346 , 29 ," 2,043 ",,,

Vermont,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,St. Albans ,STA, 42 , 62 , D , 104 , -   , -   , D , -   , 42 , 62 , D , 104 ,,,

Virginia,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Norfolk ,NOR, 345 , 263 , 22 ," 1,184 ", -   , 10 , D , 22 , 345 , 273 , 26 ," 1,206 ",,,

Washington,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Seattle ,SEA, 817 , 561 , 52 ," 3,491 ", D , D , D , 34 , 820 , 565 , 56 ," 3,525 ",,,

,Spokane ,SPO, 52 , 48 , D , 137 , -   , D , D , D , 52 , 51 , 10 , 138 ,,,

,Yakima,YAK, 97 , 169 , D , 191 , -   , D , D , -   , 97 , 172 , 11 , 191 ,,,

West Virginia,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Charleston ,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

Wisconsin,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Milwaukee ,MIL, 318 , 324 , 18 ," 1,028 ", D , 10 , -   , 19 , 321 , 334 , 18 ," 1,047 ",,,

,,,,,,,,,,,,,,,,,

Field Office by Territory6,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

Guam,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Agana,AGA, 134 , 114 , D , 342 , D , D , -   , D , 135 , 116 , D , 346 ,,,

U.S. Virgin Islands,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,Charlotte Amalie,CHA, 13 , -   , D , 94 , -   , -   , -   , D , 13 , -   , D , 95 ,,,

,Christiansted ,CHR, D , -   , -   , 28 , -   , -   , -   , -   , D , -   , -   , 28 ,,,

Puerto Rico,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,San Juan ,SAJ, 92 , 80 , D , 470 , -   , D , -   , 20 , 92 , 82 , D , 490 ,,,

Service Center,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,

,California,WSC, 321 ," 1,074 ", 212 ," 7,152 "," 56,492 "," 9,554 "," 1,149 "," 728,914 "," 56,813 "," 10,628 "," 1,361 "," 736,066 ",,,

,Nebraska,NSC," 24,470 "," 27,850 "," 1,806 "," 81,099 ", 347 , 540 , 212 ," 1,692 "," 24,817 "," 28,390 "," 2,018 "," 82,791 ",,,

,Texas,SSC," 39,072 "," 32,285 ", 917 ," 93,855 ", 688 , 721 , 136 ," 1,341 "," 39,760 "," 33,006 "," 1,053 "," 95,196 ",,,

,Vermont,ESC, D , 370 ," 1,090 "," 3,381 ", D , 806 ," 1,093 "," 134,990 ", D ," 1,176 "," 2,183 "," 138,371 ",,,

,Potomac,YSC," 16,059 "," 11,643 ", 586 ," 43,320 ", 275 , 233 , 18 , 616 ," 16,334 "," 11,876 ", 604 ," 43,936 ",,,

,,,,,,,,,,,,,,,,,

D  Data withheld to protect individuals' privacy.,,,,,,,,,,,,,,,,,

- Represents zero,,,,,,,,,,,,,,,,,

"1 ""Immediate Relatives"" refers to petitions to sponsor Immediate Relatives of U.S. citizens. ""All Other Relatives"" refers to petitions to sponsor relatives under Family-based Preferences. ",,,,,,,,,,,,,,,,,

    International field offices only accept Form I-130 filings for immediate relatives of U.S. citizens residing in the country in which the field office is located. ,,,,,,,,,,,,,,,,,

2  The number of new petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,

3  The number of petitions approved during the reporting period.,,,,,,,,,,,,,,,,,

"4  The number of petitions that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,

5  The number of petitions awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,

6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,

"NOTE:  1) Some petitions approved, denied, or pending a decision may have been received in prior reporting periods. ",,,,,,,,,,,,,,,,,

             2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,

"Sources:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool, December 2017; Department of Homeland Security, ",,,,,,,,,,,,,,,,,

"U.S. Citizenship and Immigration Services, CAMINO, December 2017.",,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,

USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,,,

,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,,,

,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,,,

 ,,,,,,,,,,,,,,,,,

Total,,," 1,607 "," 1,501 ", 29 , 598 , N/A , N/A , N/A , N/A ," 1,607 "," 1,501 ", 29 , 598 ,,,

,,,,,,,,,,,,,,,,,

International Field Office by Country,,,,,,,,,,,,,,,,,

China,,, , , , , , , , ,,,,,,,

,Beijing,BEI,42,42,-,21,N/A,N/A,N/A,N/A,42,42,-,21,,,

,Guangzhou,GZH,61,75,-,15,N/A,N/A,N/A,N/A,61,75,-,15,,,

Cuba,,,,,,, , , , , , , , ,,,

,Havana,HAV, -   , -   ,-,D,N/A,N/A,N/A,N/A,-,-,-,D,,,

Dominican Republic,,,,,,, , , , , , , , ,,,

,Santo Domingo,SDM,77,84,D,25,N/A,N/A,N/A,N/A,77,84,D,25,,,

El Salvador,,,,,,, , , , , , , , ,,,

,San Salvador,SNS,15,18,-,12,N/A,N/A,N/A,N/A,15,18,-,12,,,

Germany,,,,,,, , , , , , , , ,,,

,Frankfurt,FKG,225,181,D,132,N/A,N/A,N/A,N/A,225,181,D,132,,,

Ghana,,,,,,, , , , , , , , ,,,

,Accra,ACG,D,D,-,-,N/A,N/A,N/A,N/A,D,D,-,-,,,

Greece,,,,,,, , , , , , , , ,,,

,Athens,ATH,35,37,-,D,N/A,N/A,N/A,N/A,35,37,-,D,,,

Guatemala,,,,,,, , , , , , , , ,,,

,Guatemala City,GTM,40,25,-,17,N/A,N/A,N/A,N/A,40,25,-,17,,,

Haiti,,,,,,, , , , , , , , ,,,

,Port-au-Prince,PAP,12,14,-,D,N/A,N/A,N/A,N/A,12,14,-,D,,,

India,,,,,,, , , , , , , , ,,,

,New Delhi,NDI,41,43,D,44,N/A,N/A,N/A,N/A,41,43,D,44,,,

Italy,,,,,,, , , , , , , , ,,,

,Rome,RIT,75,66,-,26,N/A,N/A,N/A,N/A,75,66,-,26,,,

Jordan,,,,,,, , , , , , , , ,,,

,Amman,AMM,143,116,D,59,N/A,N/A,N/A,N/A,143,116,D,59,,,

Kenya,,,,,,, , , , , , , , ,,,

,Nairobi,NBO,D,D,-,D,N/A,N/A,N/A,N/A,D,D,-,D,,,

,,,,,,,,,,,,,,,,,

Mexico,,,,,,, , , , , , , , ,,,

,Ciudad Juarez,CDJ,46,44,-,D,N/A,N/A,N/A,N/A,46,44,-,D,,,

,Mexico City,MEX,53,50,D,D,N/A,N/A,N/A,N/A,53,50,D,D,,,

,Monterrey,MTR,14,18,D,D,N/A,N/A,N/A,N/A,14,18,D,D,,,

Peru,,,,,,, , , , , , , , ,,,

,Lima,LIM,21,24,-,D,N/A,N/A,N/A,N/A,21,24,-,D,,,

Philippines,,,,,,, , , , , , , , ,,,

,Manila,MPH,113,118,D,50,N/A,N/A,N/A,N/A,113,118,D,50,,,

Russia,,,,,,, , , , , , , , , , , 

,Moscow,MOS,21,17,-,D,N/A,N/A,N/A,N/A,21,17,-,D,,,

South Africa,,,,,,, , , , , , , , ,,,

,Johannesburg,JHS,15,20,-,-,N/A,N/A,N/A,N/A,15,20,-,-,,,

South Korea,,,,,,, , , , , , , , ,,,

,Seoul,SEK,212,180,D,62,N/A,N/A,N/A,N/A,212,180,D,62,,,

Thailand,,,,,,, , , , , , , , ,,,

,Bangkok,BKK,67,53,-,25,N/A,N/A,N/A,N/A,67,53,-,25,,,

United Kingdom,,,,,,, , , , , , , , ,,,

,London,LDN,272,265,D,83,N/A,N/A,N/A,N/A,272,265,D,83,,,

,,,,,,,,,,,,,,,,,

D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,,,,

- Represents zero,,,,,,,,,,,,,,,,,

"1 ""Immediate Relatives"" refers to petitions to sponsor Immediate Relatives of U.S. citizens. ""All Other Relatives"" refers to petitions to sponsor relatives under Family-based Preferences. International Field Offices only ",,,,,,,,,,,,,,,,,

    accept I-130 filings for immediate relatives of U.S. citizens residing in the country in which the Field Office is located. ,,,,,,,,,,,,,,,,,

2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,

3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,

"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,

5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,

6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,

"NOTE:  1) Some applications approved, denied, or pending a decision may have been received in prior reporting periods. ",,,,,,,,,,,,,,,,,

             2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,

"Sources:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool (PRT), December 2017; Department of Homeland Security, U.S. Citizenship and Immigration Services, ",,,,,,,,,,,,,,,,,

"CAMINO, January 2018.",,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,
