Form I-765 Application for Employment Authorization,,,,,,,,,,,,,,,,

"All Receipts, Approvals, Denials Grouped by  Eligibility Category and Filing Type",,,,,,,,,,,,,,,,

Fiscal Year 2023,,,,,,,,,,,,,,,,

EAD Eligibility Category,EAD  Category Description,Application for EAD-Initial,,,Application for EAD-Renewal,,,Application for EAD-Replacement,,,Application for EAD-Not Requested,,,TOTAL,,
C285,ABUSED SPOUSE OF E NON-IMMIGRANT,1,1,-,2,-,-,-,-,-,-,-,-,3,1,0

C295,ABUSED SPOUSE OF G NON-IMMIGRANT,1,1,-,4,1,-,-,-,-,-,-,-,5,2,0

C305,ABUSED SPOUSE OF H NON-IMMIGRANT,59,34,12,60,15,12,1,-,-,-,-,-,120,49,24

C315,APPROVED I-360 VAWA SELF-PETITIONERS,"2,642",561,292,"1,507","2,095",243,56,22,3,-,-,-,"4,205","2,678",538

C32,ALIEN WITH BONA FIDE DETERMINATION,4,-,1,-,-,-,-,-,-,-,-,-,4,0,1

C33,DEFERRED ACTION FOR CHILDHOOD ARRIVALS,"3,425",3,6,"330,666","304,465","1,516","3,583","1,809","1,037",-,-,-,"337,674","306,277","2,559"

C35,"203(b)(1),(2),or(3) PRINC BENEFICIARY",290,25,243,55,13,88,-,-,-,-,-,-,345,38,331

C36,"203(b)(1),(2),or(3) DEPENDT/SPOUSE/CHILD",276,15,232,71,12,87,-,-,1,-,-,-,347,27,320

C37,CNMI RESIDENT STATUS,-,3,-,-,3,1,1,2,-,-,-,-,1,8,1

UNKNOWN,UNKNOWN ELIGIBILITY CODE,1,-,-,1,1,1,-,-,-,-,-,-,2,1,1

The following guidelines apply to all succeeding tables,,,,,,,,,,,,,,,,

Table Key:,,,,,,,,,,,,,,,,

- Represents zero or rounds to 0.0.,,,,,,,,,,,,,,,,

Reference(s):,,,,,,,,,,,,,,,,

1 The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,

2 The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,

3 The number of applications that were denied during the reporting period.,,,,,,,,,,,,,,,,

4 I-765 EAD Eligibility Category where the statutory basis is mandatory.,,,,,,,,,,,,,,,,

5 I-765 EAD Eligibility Category where the statutory basis is discretionary.,,,,,,,,,,,,,,,,

Note(s):,,,,,,,,,,,,,,,,

1) Some applications approved or denied may have been received in previous reporting periods.,,,,,,,,,,,,,,,,

2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,,,,,

3) Counts may differ from those reported in previous quarters due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,

"4) ""Unknown"" category includes eligibility codes that were left blank or that are no longer in use.",,,,,,,,,,,,,,,,

5) This report reflects approvals for applications requested by EAD eligibility category. An officer may approve an application for employment authorization under a different EAD eligibility category upon adjudication.,,,,,,,,,,,,,,,,

Source(s):,,,,,,,,,,,,,,,,

"1) U.S. Citizenship and Immigration Services, Office of Performance and Quality, C3 Consolidated/ELIS,  queried November 2023.",,,,,,,,,,,,,,,,
