,February,"22,944","22,469","7,026","29,495",76.2%,"15,077",51.1%,"8,500",56.4%,,,,,,,,,

,March,"25,701","25,161","5,055","30,216",83.3%,"10,809",35.8%,"6,273",58.0%,,,,,,,,,

,April,"139,338","26,375","3,679","30,054",87.8%,"8,086",26.9%,"4,718",58.3%,,,,,,,,,

,May,"33,034","34,115","3,520","37,635",90.6%,"8,445",22.4%,"5,167",61.2%,,,,,,,,,

,June,"29,835","32,181","4,113","36,294",88.7%,"10,122",27.9%,"6,391",63.1%,,,,,,,,,

,July,"27,716","27,720","4,192","31,912",86.9%,"10,588",33.2%,"6,752",63.8%,,,,,,,,,

,August,"29,465","32,637","5,129","37,766",86.4%,"12,462",33.0%,"7,878",63.2%,,,,,,,,,

,September,"27,276","28,582","4,926","33,508",85.3%,"12,287",36.7%,"7,804",63.5%,,,,,,,,,

2018 Total,,"418,593","334,960","61,371","396,331",84.5%,"150,638",38.0%,"93,939",62.4%,,,,,,,,,

2019,October,"19,818","29,372","8,882","38,254",76.8%,"22,389",58.5%,"14,110",63.0%,,,,,,,,,

,November,"19,640","25,107","9,464","34,571",72.6%,"22,852",66.1%,"13,883",60.8%,,,,,,,,,

,December,"20,834","22,218","6,754","28,972",76.7%,"15,901",54.9%,"9,591",60.3%,,,,,,,,,

,January,"20,111","25,428","6,182","31,610",80.4%,"13,094",41.4%,"7,652",58.4%,,,,,,,,,

,February,"21,398","25,985","5,134","31,119",83.5%,"10,536",33.9%,"5,924",56.2%,,,,,,,,,

,March,"25,797","29,121","4,335","33,456",87.0%,"10,332",30.9%,"6,387",61.8%,,,,,,,,,

,April,"140,167","31,543","4,520","36,063",87.5%,"11,824",32.8%,"7,667",64.8%,,,,,,,,,

,May,"35,197","47,544","3,702","51,246",92.8%,"10,796",21.1%,"7,391",68.5%,,,,,,,,,

,June,"31,308","37,222","3,485","40,707",91.4%,"11,519",28.3%,"8,374",72.7%,,,,,,,,,

,July,"31,097","40,883","4,317","45,200",90.4%,"14,073",31.1%,"10,236",72.7%,,,,,,,,,

,August,"29,555","40,623","6,632","47,255",86.0%,"21,829",46.2%,"15,742",72.1%,,,,,,,,,

,September,"25,637","34,333","6,145","40,478",84.8%,"19,268",47.6%,"13,685",71.0%,,,,,,,,,

2019 Total,,"420,559","389,379","69,552","458,931",84.8%,"184,413",40.2%,"120,642",65.4%,,,,,,,,,

2020,October,"26,333","35,719","7,252","42,971",83.1%,"21,100",49.1%,"14,384",68.2%,,,,,,,,,

,November,"25,698","28,706","5,980","34,686",82.8%,"16,565",47.8%,"10,960",66.2%,,,,,,,,,

,December,"26,955","29,212","5,389","34,601",84.4%,"15,383",44.5%,"10,303",67.0%,,,,,,,,,

,January,"25,265","31,866","6,010","37,876",84.1%,"15,997",42.2%,"10,519",65.8%,,,,,,,,,

,February,"26,799","27,849","4,213","32,062",86.9%,"11,236",35.0%,"7,596",67.6%,,,,,,,,,

,March,"27,335","31,333","3,286","34,619",90.5%,"10,202",29.5%,"7,431",72.8%,,,,,,,,,

,April,"40,316","24,358","1,698","26,056",93.5%,"6,388",24.5%,"4,974",77.9%,,,,,,,,,

,May,"48,984","28,090","1,276","29,366",95.7%,"5,166",17.6%,"4,032",78.0%,,,,,,,,,

,June,"85,034","44,907","1,237","46,144",97.3%,"8,867",19.2%,"7,827",88.3%,,,,,,,,,

,July,"31,554","47,824",950,"48,774",98.1%,"6,775",13.9%,"6,010",88.7%,,,,,,,,,

,August,"28,957","47,918","1,050","48,968",97.9%,"6,971",14.2%,"6,171",88.5%,,,,,,,,,

,September,"34,054","48,928","1,587","50,515",96.9%,"9,538",18.9%,"8,325",87.3%,,,,,,,,,

2020 Total,,"427,284","426,710","39,928","466,638",91.4%,"134,188",28.8%,"98,532",73.4%,,,,,,,,,

2021,October,"22,905","42,169","1,563","43,732",96.4%,"9,016",20.6%,"7,794",86.4%,,,,,,,,,

,November,"18,507","24,471","1,194","25,665",95.3%,"7,052",27.5%,"6,065",86.0%,,,,,,,,,

,December,"20,066","23,073","1,235","24,308",94.9%,"7,263",29.9%,"6,214",85.6%,,,,,,,,,

,January,"20,824","23,921",909,"24,830",96.3%,"5,230",21.1%,"4,431",84.7%,,,,,,,,,

,February,"22,705","23,023",879,"23,902",96.3%,"4,761",19.9%,"3,999",84.0%,,,,,,,,,

,March,"34,113","33,656",910,"34,566",97.4%,"6,000",17.4%,"5,221",87.0%,,,,,,,,,

,April,"39,339","37,078",872,"37,950",97.7%,"5,232",13.8%,"4,512",86.2%,,,,,,,,,

,May,"45,021","35,889",697,"36,586",98.1%,"4,780",13.1%,"4,194",87.7%,,,,,,,,,

,June,"77,270","42,176",660,"42,836",98.5%,"4,309",10.1%,"3,770",87.5%,,,,,,,,,

,July,"32,610","39,116",659,"39,775",98.3%,"4,343",10.9%,"3,829",88.2%,,,,,,,,,

,August,"31,785","43,277",750,"44,027",98.3%,"5,014",11.4%,"4,469",89.1%,,,,,,,,,

,September,"33,132","39,222",909,"40,131",97.7%,"4,845",12.1%,"4,166",86.0%,,,,,,,,,

2021 Total,,"398,277","407,071","11,237","418,308",97.3%,"67,845",16.2%,"58,664",86.5%,,,,,,,,,

2022,October,"32,947","32,323",763,"33,086",97.7%,"4,321",13.1%,"3,791",87.7%,,,,,,,,,

,November,"28,183","31,455",782,"32,237",97.6%,"4,332",13.4%,"3,815",88.1%,,,,,,,,,

,December,"28,504","26,801",759,"27,560",97.2%,"3,870",14.0%,"3,344",86.4%,,,,,,,,,

,January,,,,,,,,,,,,,,,,,,

,February,,,,,,,,,,,,,,,,,,

,March,,,,,,,,,,,,,,,,,,

,April,,,,,,,,,,,,,,,,,,

,May,,,,,,,,,,,,,,,,,,

,June,,,,,,,,,,,,,,,,,,

,July,,,,,,,,,,,,,,,,,,

,August,,,,,,,,,,,,,,,,,,

,September,,,,,,,,,,,,,,,,,,

2022 Total,,"89,634","90,579","2,304","92,883",97.5%,"12,523",13.5%,"10,950",87.4%,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

"Form I-129 Petition for a Nonimmigrant Worker, Temporary Agricultural Worker (H-2A)",,,,,,,,,,,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,,,,,,,,,,

"October 1, 2016 - December 31, 2021",,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

                     Period,,,,,,                    Petitions by Case Status,,,,,,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

TOTAL,,"81,760","80,213",697,"80,910",99.1%,"8,547",10.6%,"7,900",92.4%,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

2017,October,454,408,6,414,98.6%,69,16.7%,64,92.8%,,,,,,,,,

,November,595,521,15,536,97.2%,84,15.7%,70,83.3%,,,,,,,,,

,December,767,744,11,755,98.5%,78,10.3%,68,87.2%,,,,,,,,,

,January,"1,223","1,081",8,"1,089",99.3%,109,10.0%,101,92.7%,,,,,,,,,

,February,"1,678","1,576",5,"1,581",99.7%,105,6.6%,100,95.2%,,,,,,,,,

,March,"1,743","1,744",7,"1,751",99.6%,172,9.8%,166,96.5%,,,,,,,,,

,April,"1,047","1,282",7,"1,289",99.5%,145,11.2%,139,95.9%,,,,,,,,,

,May,962,867,8,875,99.1%,108,12.3%,100,92.6%,,,,,,,,,

,June,"1,078","1,049",5,"1,054",99.5%,143,13.6%,138,96.5%,,,,,,,,,

,July,814,888,3,891,99.7%,125,14.0%,122,97.6%,,,,,,,,,

,August,768,793,3,796,99.6%,99,12.4%,96,97.0%,,,,,,,,,

,September,473,498,11,509,97.8%,110,21.6%,100,90.9%,,,,,,,,,

2017 Total,,"11,602","11,451",89,"11,540",99.2%,"1,347",11.7%,"1,264",93.8%,,,,,,,,,

2018,October,589,516,7,523,98.7%,83,15.9%,76,91.6%,,,,,,,,,

,November,663,597,3,600,99.5%,76,12.7%,73,96.1%,,,,,,,,,

,December,819,825,7,832,99.2%,106,12.7%,99,93.4%,,,,,,,,,

,January,"1,283","1,155",7,"1,162",99.4%,118,10.2%,111,94.1%,,,,,,,,,

,February,"1,991","1,612",8,"1,620",99.5%,132,8.1%,124,93.9%,,,,,,,,,

,March,"1,905","2,341",7,"2,348",99.7%,225,9.6%,218,96.9%,,,,,,,,,

,April,"1,293","1,262",17,"1,279",98.7%,141,11.0%,125,88.7%,,,,,,,,,

,May,"1,085","1,103",11,"1,114",99.0%,156,14.0%,146,93.6%,,,,,,,,,

,June,"1,246","1,123",7,"1,130",99.4%,125,11.1%,119,95.2%,,,,,,,,,

,July,"1,139","1,140",4,"1,144",99.7%,131,11.5%,127,96.9%,,,,,,,,,

,August,910,983,8,991,99.2%,151,15.2%,144,95.4%,,,,,,,,,

,September,521,585,8,593,98.7%,119,20.1%,111,93.3%,,,,,,,,,

2018 Total,,"13,444","13,242",94,"13,336",99.3%,"1,563",11.7%,"1,473",94.2%,,,,,,,,,

2019,October,720,660,11,671,98.4%,120,17.9%,110,91.7%,,,,,,,,,

,November,721,723,10,733,98.6%,101,13.8%,93,92.1%,,,,,,,,,

,December,"1,026",975,15,990,98.5%,105,10.6%,92,87.6%,,,,,,,,,

,January,"1,575","1,396",10,"1,406",99.3%,150,10.7%,141,94.0%,,,,,,,,,

,February,"2,231","2,045",2,"2,047",99.9%,210,10.3%,208,99.0%,,,,,,,,,

,March,"2,291","2,468",3,"2,471",99.9%,170,6.9%,167,98.2%,,,,,,,,,

,April,"1,479","1,682",9,"1,691",99.5%,215,12.7%,206,95.8%,,,,,,,,,

,May,"1,380","1,063",6,"1,069",99.4%,115,10.8%,109,94.8%,,,,,,,,,

,June,"1,181","1,429",9,"1,438",99.4%,136,9.5%,127,93.4%,,,,,,,,,

,July,"1,201","1,231",11,"1,242",99.1%,133,10.7%,122,91.7%,,,,,,,,,

,August,"1,052","1,019",8,"1,027",99.2%,142,13.8%,134,94.4%,,,,,,,,,

,September,652,689,9,698,98.7%,116,16.6%,107,92.2%,,,,,,,,,

2019 Total,,"15,509","15,380",103,"15,483",99.3%,"1,713",11.1%,"1,616",94.3%,,,,,,,,,

2020,October,831,775,9,784,98.9%,127,16.2%,121,95.3%,,,,,,,,,

,November,746,651,8,659,98.8%,85,12.9%,77,90.6%,,,,,,,,,

,December,"1,220","1,229",11,"1,240",99.1%,105,8.5%,95,90.5%,,,,,,,,,

,January,"2,060","1,720",10,"1,730",99.4%,220,12.7%,210,95.5%,,,,,,,,,

,February,"2,495","2,267",12,"2,279",99.5%,193,8.5%,182,94.3%,,,,,,,,,

,March,"2,612","2,563",25,"2,588",99.0%,215,8.3%,192,89.3%,,,,,,,,,

,April,"1,481","1,889",24,"1,913",98.7%,187,9.8%,164,87.7%,,,,,,,,,

,May,"1,243","1,139",14,"1,153",98.8%,131,11.4%,117,89.3%,,,,,,,,,

,June,"1,216","1,394",6,"1,400",99.6%,132,9.4%,128,97.0%,,,,,,,,,

,July,"1,340","1,352",7,"1,359",99.5%,147,10.8%,143,97.3%,,,,,,,,,

,August,"1,021","1,156",6,"1,162",99.5%,99,8.5%,94,94.9%,,,,,,,,,

,September,747,621,10,631,98.4%,82,13.0%,73,89.0%,,,,,,,,,

2020 Total,,"17,012","16,756",142,"16,898",99.2%,"1,723",10.2%,"1,596",92.6%,,,,,,,,,

2021,October,860,670,19,689,97.2%,90,13.1%,72,80.0%,,,,,,,,,

,November,898,817,10,827,98.8%,95,11.5%,86,90.5%,,,,,,,,,

,December,"1,537","1,364",14,"1,378",99.0%,101,7.3%,87,86.1%,,,,,,,,,

,January,"2,605","2,512",25,"2,537",99.0%,189,7.4%,168,88.9%,,,,,,,,,

,February,"3,005","2,944",8,"2,952",99.7%,187,6.3%,179,95.7%,,,,,,,,,

,March,"2,887","3,133",18,"3,151",99.4%,263,8.3%,248,94.3%,,,,,,,,,

,April,"1,744","1,820",25,"1,845",98.6%,192,10.4%,170,88.5%,,,,,,,,,

,May,"1,297","1,265",18,"1,283",98.6%,128,10.0%,112,87.5%,,,,,,,,,

,June,"1,547","1,453",23,"1,476",98.4%,157,10.6%,135,86.0%,,,,,,,,,

,July,"1,534","1,505",14,"1,519",99.1%,147,9.7%,134,91.2%,,,,,,,,,

,August,"1,404","1,415",19,"1,434",98.7%,195,13.6%,176,90.3%,,,,,,,,,

,September,"1,005",947,12,959,98.7%,121,12.6%,111,91.7%,,,,,,,,,

2021 Total,,"20,323","19,845",205,"20,050",99.0%,"1,865",9.3%,"1,678",90.0%,,,,,,,,,

2022,October,1041,860,13,873,98.5%,95,10.9%,82,86.3%,,,,,,,,,

,November,1230,1017,21,1038,98.0%,110,10.6%,89,80.9%,,,,,,,,,

,December,"1,599","1,662",30,"1,692",98.2%,131,7.7%,102,77.9%,,,,,,,,,

,January,,,,,,,,,,,,,,,,,,

,February,,,,,,,,,,,,,,,,,,

,March,,,,,,,,,,,,,,,,,,

,April,,,,,,,,,,,,,,,,,,

,May,,,,,,,,,,,,,,,,,,

,June,,,,,,,,,,,,,,,,,,

,July,,,,,,,,,,,,,,,,,,

,August,,,,,,,,,,,,,,,,,,

,September,,,,,,,,,,,,,,,,,,

2022 Total,,"3,870","3,539",64,"3,603",98.2%,336,9.3%,273,81.3%,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

"Form I-129 Petition for a Nonimmigrant Worker, Temporary Non-Agricultural Worker (H-2B)",,,,,,,,,,,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,,,,,,,,,,

"October 1, 2016 - December 31, 2021",,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

                     Period,,,,,,                    Petitions by Case Status,,,,,,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

TOTAL,,"35,202","34,379",860,"35,239",97.6%,"6,234",17.7%,"5,428",87.1%,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

2017,October,235,240,30,270,88.9%,82,30.4%,53,64.6%,,,,,,,,,

,November,204,198,33,231,85.7%,93,40.3%,61,65.6%,,,,,,,,,

,December,561,310,33,343,90.4%,72,21.0%,40,55.6%,,,,,,,,,

,January,644,754,34,788,95.7%,132,16.8%,100,75.8%,,,,,,,,,

,February,"1,695","1,064",32,"1,096",97.1%,121,11.0%,89,73.6%,,,,,,,,,

,March,741,"1,336",27,"1,363",98.0%,312,22.9%,286,91.7%,,,,,,,,,

,April,285,283,26,309,91.6%,146,47.2%,120,82.2%,,,,,,,,,

,May,151,251,23,274,91.6%,109,39.8%,86,78.9%,,,,,,,,,

,June,90,104,28,132,78.8%,72,54.5%,44,61.1%,,,,,,,,,

,July,748,437,11,448,97.5%,31,6.9%,21,67.7%,,,,,,,,,

,August,343,538,13,551,97.6%,132,24.0%,121,91.7%,,,,,,,,,

,September,415,348,17,365,95.3%,80,21.9%,63,78.8%,,,,,,,,,

2017 Total,,"6,112","5,863",307,"6,170",95.0%,"1,382",22.4%,"1,084",78.4%,,,,,,,,,

2018,October,232,246,40,286,86.0%,99,34.6%,59,59.6%,,,,,,,,,

,November,216,183,18,201,91.0%,74,36.8%,56,75.7%,,,,,,,,,

,December,529,456,19,475,96.0%,92,19.4%,73,79.3%,,,,,,,,,

,January,36,111,15,126,88.1%,99,78.6%,84,84.8%,,,,,,,,,

,February,22,48,5,53,90.6%,47,88.7%,43,91.5%,,,,,,,,,

,March,"2,420","2,184",21,"2,205",99.0%,198,9.0%,178,89.9%,,,,,,,,,

,April,427,478,10,488,98.0%,167,34.2%,158,94.6%,,,,,,,,,

,May,141,246,10,256,96.1%,86,33.6%,78,90.7%,,,,,,,,,

,June,"1,047",965,5,970,99.5%,91,9.4%,86,94.5%,,,,,,,,,

,July,147,129,5,134,96.3%,104,77.6%,100,96.2%,,,,,,,,,

,August,431,417,3,420,99.3%,47,11.2%,44,93.6%,,,,,,,,,

,September,500,420,8,428,98.1%,54,12.6%,46,85.2%,,,,,,,,,

2018 Total,,"6,148","5,883",159,"6,042",97.4%,"1,158",19.2%,"1,005",86.8%,,,,,,,,,

2019,October,258,377,23,400,94.3%,95,23.8%,72,75.8%,,,,,,,,,

,November,362,281,12,293,95.9%,53,18.1%,41,77.4%,,,,,,,,,

,December,195,296,6,302,98.0%,37,12.3%,32,86.5%,,,,,,,,,

,January,138,75,8,83,90.4%,32,38.6%,26,81.3%,,,,,,,,,

,February,"1,748","1,635",2,"1,637",99.9%,55,3.4%,53,96.4%,,,,,,,,,

,March,301,311,6,317,98.1%,110,34.7%,104,94.5%,,,,,,,,,

,April,455,486,9,495,98.2%,105,21.2%,97,92.4%,,,,,,,,,

,May,"2,782","2,232",16,"2,248",99.3%,125,5.6%,111,88.8%,,,,,,,,,

,June,109,703,14,717,98.0%,511,71.3%,497,97.3%,,,,,,,,,

,July,95,107,6,113,94.7%,57,50.4%,51,89.5%,,,,,,,,,

,August,526,365,5,370,98.6%,39,10.5%,34,87.2%,,,,,,,,,

,September,491,490,11,501,97.8%,72,14.4%,61,84.7%,,,,,,,,,

2019 Total,,"7,460","7,358",118,"7,476",98.4%,"1,291",17.3%,"1,179",91.3%,,,,,,,,,

2020,October,372,444,6,450,98.7%,68,15.1%,62,91.2%,,,,,,,,,

,November,287,355,7,362,98.1%,75,20.7%,68,90.7%,,,,,,,,,

,December,53,72,7,79,91.1%,36,45.6%,30,83.3%,,,,,,,,,

,January,700,163,5,168,97.0%,33,19.6%,28,84.8%,,,,,,,,,

,February,"1,595","1,928",6,"1,934",99.7%,147,7.6%,144,98.0%,,,,,,,,,

,March,319,326,5,331,98.5%,142,42.9%,138,97.2%,,,,,,,,,

,April,409,319,5,324,98.5%,51,15.7%,49,96.1%,,,,,,,,,

,May,215,256,11,267,95.9%,58,21.7%,48,82.8%,,,,,,,,,

,June,158,221,4,225,98.2%,74,32.9%,70,94.6%,,,,,,,,,

,July,128,145,9,154,94.2%,50,32.5%,41,82.0%,,,,,,,,,

,August,568,442,3,445,99.3%,34,7.6%,31,91.2%,,,,,,,,,

,September,618,579,4,583,99.3%,76,13.0%,73,96.1%,,,,,,,,,

2020 Total,,"5,422","5,250",72,"5,322",98.6%,844,15.9%,782,92.7%,,,,,,,,,

2021,October,517,547,14,561,97.5%,114,20.3%,101,88.6%,,,,,,,,,

,November,309,407,14,421,96.7%,102,24.2%,93,91.2%,,,,,,,,,

,December,161,138,8,146,94.5%,68,46.6%,61,89.7%,,,,,,,,,

,January,899,228,6,234,97.4%,47,20.1%,41,87.2%,,,,,,,,,

,February,"1,526","2,027",2,"2,029",99.9%,111,5.5%,110,99.1%,,,,,,,,,

,March,512,521,8,529,98.5%,179,33.8%,172,96.1%,,,,,,,,,

,April,562,522,9,531,98.3%,130,24.5%,122,93.8%,,,,,,,,,

,May,188,344,16,360,95.6%,84,23.3%,68,81.0%,,,,,,,,,

,June,"2,251","2,108",30,"2,138",98.6%,151,7.1%,126,83.4%,,,,,,,,,

,July,319,243,22,265,91.7%,159,60.0%,138,86.8%,,,,,,,,,

,August,892,971,7,978,99.3%,66,6.7%,59,89.4%,,,,,,,,,

,September,"1,025",851,17,868,98.0%,93,10.7%,78,83.9%,,,,,,,,,

2021 Total,,"9,161","8,907",153,"9,060",98.3%,"1,304",14.4%,"1,169",89.6%,,,,,,,,,

2021,October,371,547,30,577,94.8%,121,21.0%,93,76.9%,,,,,,,,,

,November,338,327,10,337,97.0%,66,19.6%,57,86.4%,,,,,,,,,

,December,190,244,11,255,95.7%,68,26.7%,59,86.8%,,,,,,,,,

,January,,,,,,,,,,,,,,,,,,

,February,,,,,,,,,,,,,,,,,,

,March,,,,,,,,,,,,,,,,,,

,April,,,,,,,,,,,,,,,,,,

,May,,,,,,,,,,,,,,,,,,

,June,,,,,,,,,,,,,,,,,,

,July,,,,,,,,,,,,,,,,,,

,August,,,,,,,,,,,,,,,,,,

,September,,,,,,,,,,,,,,,,,,

2021 Total,,899,"1,118",51,"1,169",95.6%,255,21.8%,209,82.0%,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

"Form I-129 Petition for a Nonimmigrant Worker, Intracompany Transferee Executive or Manager (L-1A) Intercompany Transferee Specialized Knowledge (L-1B)",,,,,,,,,,,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,,,,,,,,,,

"October 1, 2016 - December 31, 2021",,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

                     Period,,,,,,                    Petitions by Case Status,,,,,,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

TOTAL,,"215,095","162,052","47,348","209,400",77.4%,"100,228",47.9%,"55,975",55.8%,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

2017,October,"3,408","2,711",456,"3,167",85.6%,958,30.2%,531,55.4%,,,,,,,,,

,November,"3,427","2,904",428,"3,332",87.2%,960,28.8%,564,58.8%,,,,,,,,,

,December,"3,532","2,988",507,"3,495",85.5%,"1,066",30.5%,607,56.9%,,,,,,,,,

,January,"3,339","2,596",614,"3,210",80.9%,"1,142",35.6%,579,50.7%,,,,,,,,,

,February,"3,546","2,795",596,"3,391",82.4%,"1,076",31.7%,542,50.4%,,,,,,,,,

,March,"4,017","3,490",853,"4,343",80.4%,"1,567",36.1%,756,48.2%,,,,,,,,,

,April,"3,502","2,943",737,"3,680",80.0%,"1,395",37.9%,675,48.4%,,,,,,,,,

,May,"4,191","3,435",933,"4,368",78.6%,"1,697",38.9%,795,46.8%,,,,,,,,,

,June,"3,934","3,110",902,"4,012",77.5%,"1,709",42.6%,827,48.4%,,,,,,,,,

,July,"3,280","2,847",840,"3,687",77.2%,"1,539",41.7%,720,46.8%,,,,,,,,,

,August,"3,570","3,122",925,"4,047",77.1%,"1,602",39.6%,700,43.7%,,,,,,,,,

,September,"3,062","2,740",686,"3,426",80.0%,"1,290",37.7%,618,47.9%,,,,,,,,,

2017 Total,,"42,808","35,681","8,477","44,158",80.8%,"16,001",36.2%,"7,914",49.5%,,,,,,,,,

2018,October,"3,550","2,405",672,"3,077",78.2%,"1,370",44.5%,708,51.7%,,,,,,,,,

,November,"3,307","2,313",647,"2,960",78.1%,"1,324",44.7%,690,52.1%,,,,,,,,,

,December,"3,079","2,470",729,"3,199",77.2%,"1,562",48.8%,844,54.0%,,,,,,,,,

,January,"3,249","2,313",749,"3,062",75.5%,"1,551",50.7%,838,54.0%,,,,,,,,,

,February,"3,360","2,640",646,"3,286",80.3%,"1,298",39.5%,682,52.5%,,,,,,,,,

,March,"3,731","2,954",702,"3,656",80.8%,"1,414",38.7%,727,51.4%,,,,,,,,,

,April,"3,485","2,293",655,"2,948",77.8%,"1,248",42.3%,615,49.3%,,,,,,,,,

,May,"3,968","2,443",708,"3,151",77.5%,"1,414",44.9%,727,51.4%,,,,,,,,,

,June,"3,563","2,600",672,"3,272",79.5%,"1,460",44.6%,817,56.0%,,,,,,,,,

,July,"3,387","2,157",688,"2,845",75.8%,"1,461",51.4%,788,53.9%,,,,,,,,,

,August,"3,440","2,689",835,"3,524",76.3%,"1,798",51.0%,984,54.7%,,,,,,,,,

,September,"3,179","2,258",723,"2,981",75.7%,"1,425",47.8%,748,52.5%,,,,,,,,,

2018 Total,,"41,298","29,535","8,426","37,961",77.8%,"17,325",45.6%,"9,168",52.9%,,,,,,,,,

2019,October,"3,447","2,501",773,"3,274",76.4%,"1,543",47.1%,807,52.3%,,,,,,,,,

,November,"3,098","2,238",804,"3,042",73.6%,"1,634",53.7%,867,53.1%,,,,,,,,,

