"Form I-129 Petition for a Nonimmigrant Worker, Individuals with Extraordinary Ability or Achievement and Essential Support Personnel (O)",,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,

"October 1, 2016 - June 30, 2023",,,,,,,,,,

Period,,Petitions by Case Status,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9
,February,"2,296","2,036",159,"2,195",92.80%,487,22.20%,336,69.00%

,March,"2,410","2,276",163,"2,439",93.30%,538,22.10%,380,70.60%

,April,"2,190","2,012",125,"2,137",94.20%,430,20.10%,309,71.90%

,May,"2,628","2,318",129,"2,447",94.70%,515,21.00%,393,76.30%

,June,"2,733","2,267",178,"2,445",92.70%,568,23.20%,403,71.00%

2023 Total,,"20,753","19,275","1,375","20,650",93.30%,"4,629",22.40%,"3,320",71.70%

References:,,,,,,,,,,

1 The number of new petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,

"2 The number of petitions approved during the reporting period. Only initial decisions are considered. Subsequent decisions are excluded (Revocation, Remands, etc.) ",,,,,,,,,,

"3 The number of petitions denied during the reporting period. Only initial decisions are considered. Subsequent decisions are excluded (Revocation, Remands, etc.) ",,,,,,,,,,

4 The number of petitions approved and denied during the reporting period.,,,,,,,,,,

5 The percentage of petitions approved out of total completions.,,,,,,,,,,

6 The number of completions that had a Request for Evidence (RFE). ,,,,,,,,,,

7 The percentage of completions with an RFE out of total completions. ,,,,,,,,,,

8 The number of petitions with an RFE that were approved.,,,,,,,,,,

9 The percentage of petitions with an RFE that were approved out of all completions with an RFE.,,,,,,,,,,

Notes:,,,,,,,,,,

"1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,

2) Petitions may have been received in a different time period from the one in which a RFE was ordered.,,,,,,,,,,

3) Petitions with multiple RFEs are only counted once.,,,,,,,,,,

4) The report reflects the most up-to-date data available at the time the database is queried.,,,,,,,,,,

5) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,

6) The L1 Report includes all petitions not able to be assigned as an L1A or L1B class. ,,,,,,,,,,

7) All reports include all I-129 receipts including both initial and extension filings. ,,,,,,,,,,

8) The L1A and L1B report do not include counts for blanket L filings or unassigned L1 filings. ,,,,,,,,,,

Sources:,,,,,,,,,,

"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,

"CLAIMS3 and ELIS, queried 07/2023, TRK 12289",,,,,,,,,,
