"Form I-129 Petition for a Nonimmigrant Worker Athlete, Athletic/Entertainment Group, Artist, or Entertainer and Essential Support Personnel (P)",,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,

"October 1, 2016 - June 30, 2023",,,,,,,,,,

                     Period,,,,,,                    Petitions by Case Status,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9
,May,966,856,62,918,93.20%,189,20.60%,132,69.80%

,June,"1,119",972,65,"1,037",93.70%,208,20.10%,145,69.70%

,July,"1,194",908,59,967,93.90%,184,19.00%,130,70.70%

,August,"1,064","1,242",83,"1,325",93.70%,272,20.50%,194,71.30%

,September,887,990,84,"1,074",92.20%,233,21.70%,155,66.50%

2022 Total,,"11,584","10,568",773,"11,341",93.20%,"2,223",19.60%,"1,497",67.30%

2023,October,887,723,67,790,91.50%,188,23.80%,128,68.10%

,November,"1,001",905,66,971,93.20%,193,19.90%,129,66.80%

,December,"1,096",915,53,968,94.50%,184,19.00%,132,71.70%

,January,946,907,85,992,91.40%,225,22.70%,143,63.60%

,February,"1,044",992,69,"1,061",93.50%,196,18.50%,129,65.80%

,March,"1,250",980,83,"1,063",92.20%,264,24.80%,186,70.50%

,April,900,"1,021",66,"1,087",93.90%,208,19.10%,147,70.70%

,May,"1,139","1,022",87,"1,109",92.20%,235,21.20%,154,65.50%

,June,"1,203",985,109,"1,094",90.00%,263,24.00%,175,66.50%

2023 Total,,"9,466","8,450",685,"9,135",92.50%,"1,956",21.40%,"1,323",67.60%

References:,,,,,,,,,,

1 The number of new petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,

"2 The number of petitions approved during the reporting period. Only initial decisions are considered. Subsequent decisions are excluded (Revocation, Remands, etc.) ",,,,,,,,,,

"3 The number of petitions denied during the reporting period. Only initial decisions are considered. Subsequent decisions are excluded (Revocation, Remands, etc.) ",,,,,,,,,,

4 The number of petitions approved and denied during the reporting period.,,,,,,,,,,

5 The percentage of petitions approved out of total completions.,,,,,,,,,,

6 The number of completions that had a Request for Evidence (RFE). ,,,,,,,,,,

7 The percentage of completions with an RFE out of total completions. ,,,,,,,,,,

8 The number of petitions with an RFE that were approved.,,,,,,,,,,

9 The percentage of petitions with an RFE that were approved out of all completions with an RFE.,,,,,,,,,,

Notes:,,,,,,,,,,

"1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,

2) Petitions may have been received in a different time period from the one in which a RFE was ordered.,,,,,,,,,,

3) Petitions with multiple RFEs are only counted once.,,,,,,,,,,

4) The report reflects the most up-to-date data available at the time the database is queried.,,,,,,,,,,

5) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,

6) The L1 Report includes all petitions not able to be assigned as an L1A or L1B class. ,,,,,,,,,,

7) All reports include all I-129 receipts including both initial and extension filings. ,,,,,,,,,,

8) The L1A and L1B report do not include counts for blanket L filings or unassigned L1 filings. ,,,,,,,,,,

Sources:,,,,,,,,,,

"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,

"CLAIMS3 and ELIS, queried 07/2023, TRK 12289",,,,,,,,,,
