"Form I-129 Petition for a Nonimmigrant Worker, Blanket L Petition",,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,

"October 1, 2016 - June 30, 2023",,,,,,,,,,

                     Period,,,,,,                    Petitions by Case Status,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9
,September,86,79,2,81,97.50%,26,32.10%,24,92.30%

2021 Total,,897,912,29,941,96.90%,331,35.20%,306,92.40%

2022,October,96,91,3,94,96.80%,28,29.80%,25,89.30%

,November,120,108,2,110,98.20%,32,29.10%,30,93.80%

,December,127,103,3,106,97.20%,27,25.50%,24,88.90%

,January,94,102,3,105,97.10%,42,40.00%,39,92.90%

,February,104,124,2,126,98.40%,37,29.40%,36,97.30%

,March,120,131,5,136,96.30%,55,40.40%,51,92.70%

,April,150,130,1,131,99.20%,37,28.20%,36,97.30%

,May,126,115,2,117,98.30%,37,31.60%,35,94.60%

,June,130,137,2,139,98.60%,29,20.90%,27,93.10%

,July,143,117, - ,117,100.00%,34,29.10%,34,100.00%

,August,147,149,2,151,98.70%,30,19.90%,29,96.70%

,September,120,140,4,144,97.20%,50,34.70%,47,94.00%

2022 Total,,"1,477","1,447",29,"1,476",98.00%,438,29.70%,413,94.30%

2023,October,147,141,5,146,96.60%,44,30.10%,40,90.90%

,November,136,144,3,147,98.00%,38,25.90%,35,92.10%

,December,132,104,1,105,99.00%,29,27.60%,28,96.60%

,January,106,124,4,128,96.90%,36,28.10%,32,88.90%

,February,124,112, - ,112,100.00%,33,29.50%,33,100.00%

,March,127,110,1,111,99.10%,37,33.30%,36,97.30%

,April,126,130,2,132,98.50%,33,25.00%,32,97.00%

,May,140,161,3,164,98.20%,51,31.10%,48,94.10%

,June,128,126,4,130,96.90%,49,37.70%,45,91.80%

2023 Total,,"1,166","1,152",23,"1,175",98.00%,350,29.80%,329,94.00%

References:,,,,,,,,,,

1 The number of new petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,

"2 The number of petitions approved during the reporting period. Only initial decisions are considered. Subsequent decisions are excluded (Revocation, Remands, etc.) ",,,,,,,,,,

"3 The number of petitions denied during the reporting period. Only initial decisions are considered. Subsequent decisions are excluded (Revocation, Remands, etc.) ",,,,,,,,,,

4 The number of petitions approved and denied during the reporting period.,,,,,,,,,,

5 The percentage of petitions approved out of total completions.,,,,,,,,,,

6 The number of completions that had a Request for Evidence (RFE). ,,,,,,,,,,

7 The percentage of completions with an RFE out of total completions. ,,,,,,,,,,

8 The number of petitions with an RFE that were approved.,,,,,,,,,,

9 The percentage of petitions with an RFE that were approved out of all completions with an RFE.,,,,,,,,,,

Notes:,,,,,,,,,,

"1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,

2) Petitions may have been received in a different time period from the one in which a RFE was ordered.,,,,,,,,,,

3) Petitions with multiple RFEs are only counted once.,,,,,,,,,,

4) The report reflects the most up-to-date data available at the time the database is queried.,,,,,,,,,,

5) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,

6) The L1 Report includes all petitions not able to be assigned as an L1A or L1B class. ,,,,,,,,,,

7) All reports include all I-129 receipts including both initial and extension filings. ,, ,,,,,,,,

8) The L1A and L1B report do not include counts for blanket L filings or unassigned L1 filings. ,,,,,,,,,,

Sources:,,,,,,,,,,

"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,

"CLAIMS3 and ELIS, queried 07/2023, TRK 12289",,,,,,,,,,
