,Atlanta ,ATL," 1,479 ", 339 , 166 ," 9,365 ", 40 , 18 , 57 , 569 ," 1,519 ", 357 , 223 ," 9,934 ",,,,,,,,,
Hawaii,,, , , , , , , , , , , , ,,,,,,,,,
,Honolulu ,HHW, 143 , 43 , 11 , 754 , D , D , 14 , 51 , 146 , 46 , 25 , 805 ,,,,,,,,,
Idaho,,, , , , , , , , , , , , ,,,,,,,,,
,Boise ,BOI, 68 , 190 , D , 560 , D , 10 , D , 28 , 71 , 200 , 10 , 588 ,,,,,,,,,
Illinois,,, , , , , , , , , , , , ,,,,,,,,,
,Chicago ,CHI," 2,159 ", 193 , 76 ," 13,045 ", 75 , 12 , 114 , 694 ," 2,234 ", 205 , 190 ," 13,739 ",,,,,,,,,
Indiana,,, , , , , , , , , , , , ,,,,,,,,,
,Indianapolis ,INP, 437 , 131 , 62 ," 2,696 ", D , D , 14 , 119 , 442 , 136 , 76 ," 2,815 ",,,,,,,,,
Iowa,,, , , , , , , , , , , , ,,,,,,,,,
,Des Moines,DSM, 132 , 91 , D , 642 , D , D , 12 , 49 , 133 , 92 , 21 , 691 ,,,,,,,,,
Kansas,,, , , , , , , , , , , , ,,,,,,,,,
,Wichita,WIC, 127 , 39 , D , 683 , D , -   , D , 31 , 130 , 39 , 10 , 714 ,,,,,,,,,
Kentucky,,, , , , , , , , , , , , ,,,,,,,,,
,Louisville ,LOU, 131 , 111 , 23 , 938 , D , D , 11 , 59 , 138 , 116 , 34 , 997 ,,,,,,,,,
Louisiana,,, , , , , , , , , , , , ,,,,,,,,,
,New Orleans ,NOL, 283 , 113 , 25 ," 2,116 ", D , D , 13 , 141 , 288 , 120 , 38 ," 2,257 ",,,,,,,,,
Maine,,, , , , , , , , , , , , ,,,,,,,,,
,Portland ,POM, 43 , 23 , D , 257 , D , D , D , 23 , 45 , 25 , D , 280 ,,,,,,,,,
Maryland,,, , , , , , , , , , , , ,,,,,,,,,
,Baltimore ,BAL," 1,090 ", 289 , 152 ," 7,869 ", 17 , 29 , 11 , 502 ," 1,107 ", 318 , 163 ," 8,371 ",,,,,,,,,
Massachusetts,,, , , , , , , , , , , , ,,,,,,,,,
,Boston ,BOS," 1,147 ", 385 , 161 ," 5,496 ", 27 , 18 , 13 , 388 ," 1,174 ", 403 , 174 ," 5,884 ",,,,,,,,,
,Lawrence,LAW, 601 , 236 , 31 ," 2,422 ", 10 , D , D , 123 , 611 , 245 , 35 ," 2,545 ",,,,,,,,,
Michigan,,, , , , , , , , , , , , ,,,,,,,,,
,Detroit ,DET, 616 , 92 , 28 ," 3,136 ", 20 , 11 , 54 , 229 , 636 , 103 , 82 ," 3,365 ",,,,,,,,,
Minnesota,,, , , , , , , , , , , , ,,,,,,,,,
,St. Paul ,SPM, 387 , 24 , 31 ," 2,993 ", 18 , D , 12 , 258 , 405 , 26 , 43 ," 3,251 ",,,,,,,,,
Missouri,,, , , , , , , , , , , , ,,,,,,,,,
,Kansas City ,KAN, 337 , 47 , 30 ," 1,547 ", D , 13 , 32 , 89 , 340 , 60 , 62 ," 1,636 ",,,,,,,,,
,St. Louis ,STL, 149 , 96 , 11 , 503 , D , D , D , 54 , 156 , 98 , 17 , 557 ,,,,,,,,,
Montana,,, , , , , , , , , , , , ,,,,,,,,,
,Helena ,HEL, 19 , 41 , -   , 155 , D , -   , -   , D , 21 , 41 , -   , 160 ,,,,,,,,,
Nebraska,,, , , , , , , , , , , , ,,,,,,,,,
,Omaha ,OMA, 155 , 11 , 14 ," 1,137 ", D , D , 11 , 81 , 156 , 17 , 25 ," 1,218 ",,,,,,,,,
Nevada,,, , , , , , , , , , , , ,,,,,,,,,
,Las Vegas ,LVG, 597 , 67 , 26 ," 3,020 ", 12 , D , 11 , 140 , 609 , 68 , 37 ," 3,160 ",,,,,,,,,
,Reno ,REN, 97 , D , D , 514 , D , -   , D , 31 , 103 , D , D , 545 ,,,,,,,,,
New Hampshire,,, , , , , , , , , , , , ,,,,,,,,,
,Manchester ,MAN, 103 , 80 , D , 339 , D , D , D , 29 , 107 , 82 , 10 , 368 ,,,,,,,,,
New Jersey,,, , , , , , , , , , , , ,,,,,,,,,
,Mount Laurel,MTL, 355 , 160 , 81 ," 2,385 ", 10 , D , D , 154 , 365 , 164 , 83 ," 2,539 ",,,,,,,,,
,Newark ,NEW," 2,488 "," 1,039 ", 349 ," 12,208 ", 45 , 41 , 18 , 598 ," 2,533 "," 1,080 ", 367 ," 12,806 ",,,,,,,,,
New Mexico,,, , , , , , , , , , , , ,,,,,,,,,
,Albuquerque ,ABQ, 215 , 39 , D , 971 , D , -   , D , 27 , 218 , 39 , D , 998 ,,,,,,,,,
New York,,, , , , , , , , , , , , ,,,,,,,,,
,Albany ,ALB, 46 , 110 , 40 , 670 , -   , D , D , 69 , 46 , 119 , 48 , 739 ,,,,,,,,,
,Brooklyn,BNY," 1,486 "," 1,182 ", 377 ," 9,367 ", 27 , 72 , 27 , 653 ," 1,513 "," 1,254 ", 404 ," 10,020 ",,,,,,,,,
,Buffalo ,BUF, 193 , 73 , 18 , 862 , D , D , D , 87 , 199 , 81 , 23 , 949 ,,,,,,,,,
,Long Island,LNY, 857 , 823 , 116 ," 3,969 ", D , 37 , 11 , 262 , 865 , 860 , 127 ," 4,231 ",,,,,,,,,
,New York ,NYC," 2,056 "," 1,695 ", 251 ," 8,588 ", 42 , 52 , 21 , 571 ," 2,098 "," 1,747 ", 272 ," 9,159 ",,,,,,,,,
,Queens,QNS," 1,569 "," 1,126 ", 266 ," 7,247 ", 32 , 69 , 29 , 570 ," 1,601 "," 1,195 ", 295 ," 7,817 ",,,,,,,,,
North Carolina,,, , , , , , , , , , , , ,,,,,,,,,
,Charlotte ,CLT, 633 , 249 , 57 ," 2,954 ", D , D , D , 116 , 642 , 258 , 65 ," 3,070 ",,,,,,,,,
,Raleigh,RAL, 574 , 217 , 65 ," 3,154 ", D , 16 , 14 , 149 , 578 , 233 , 79 ," 3,303 ",,,,,,,,,
Ohio,,, , , , , , , , , , , , ,,,,,,,,,
,Cincinnati ,CIN, 127 , 88 , 19 , 794 , D , D , D , 61 , 132 , 94 , 23 , 855 ,,,,,,,,,
,Cleveland ,CLE, 195 , 155 , 20 ," 1,067 ", D , D , 15 , 92 , 204 , 163 , 35 ," 1,159 ",,,,,,,,,
,Columbus,CLM, 160 , 193 , 22 ," 1,099 ", D , D , 10 , 69 , 162 , 196 , 32 ," 1,168 ",,,,,,,,,
Oklahoma,,, , , , , , , , , , , , ,,,,,,,,,
,Oklahoma City ,OKC, 407 , 133 , 31 ," 1,913 ", D , D , 11 , 69 , 408 , 137 , 42 ," 1,982 ",,,,,,,,,
Oregon,,, , , , , , , , , , , , ,,,,,,,,,
,Portland ,POO, 430 , 392 , 21 ," 2,048 ", D , 13 , 15 , 120 , 438 , 405 , 36 ," 2,168 ",,,,,,,,,
Pennsylvania,,, , , , , , , , , , , , ,,,,,,,,,
,Philadelphia,PHI," 1,294 ", 521 , 121 ," 5,682 ", 29 , 12 , 11 , 383 ," 1,323 ", 533 , 132 ," 6,065 ",,,,,,,,,
,Pittsburgh ,PIT, 134 , 104 , 38 , 746 , D , D , D , 45 , 135 , 106 , 40 , 791 ,,,,,,,,,
Rhode Island,,, , , , , , , , , , , , ,,,,,,,,,
,Providence ,PRO, 199 , 99 , 33 , 982 , -   , D , D , 43 , 199 , 103 , 34 ," 1,025 ",,,,,,,,,
South Carolina,,, , , , , , , , , , , , ,,,,,,,,,
,Charleston ,CHL, 265 , 70 , 24 ," 1,422 ", D , D , D , 69 , 271 , 72 , 32 ," 1,491 ",,,,,,,,,
,Greer,GRR, 167 , 187 , 17 , 719 , D , D , D , 44 , 173 , 191 , 20 , 763 ,,,,,,,,,
Tennessee,,, , , , , , , , , , , , ,,,,,,,,,
,Memphis ,MEM, 133 , 339 , 28 ," 1,303 ", D , D , D , 84 , 134 , 342 , 31 ," 1,387 ",,,,,,,,,
,Nashville,NTN, 215 , 122 , 28 ," 2,119 ", D , D , D , 115 , 223 , 123 , 33 ," 2,234 ",,,,,,,,,
Texas,,, , , , , , , , , , , , ,,,,,,,,,
,Dallas ,DAL," 2,506 ", 549 , 113 ," 12,823 ", 61 , 22 , 54 , 649 ," 2,567 ", 571 , 167 ," 13,472 ",,,,,,,,,
,El Paso ,ELP, 688 , 248 , 20 ," 2,634 ", 14 , D , D , 149 , 702 , 250 , 23 ," 2,783 ",,,,,,,,,
,Harlingen ,HLG, 701 , 61 , 25 ," 3,114 ", 14 , D , D , 114 , 715 , 62 , 30 ," 3,228 ",,,,,,,,,
,Houston ,HOU," 2,415 ", 613 , 231 ," 12,441 ", 57 , 56 , 86 , 663 ," 2,472 ", 669 , 317 ," 13,104 ",,,,,,,,,
,San Antonio ,SNA," 1,519 ", 477 , 75 ," 5,565 ", 39 , 19 , 27 , 294 ," 1,558 ", 496 , 102 ," 5,859 ",,,,,,,,,
Utah,,, , , , , , , , , , , , ,,,,,,,,,
,Salt Lake City ,SLC, 579 , 31 , 19 ," 3,379 ", D , -   , D , 97 , 586 , 31 , 28 ," 3,476 ",,,,,,,,,
Vermont,,, , , , , , , , , , , , ,,,,,,,,,
,St. Albans ,STA, 15 , 23 , D , 154 , -   , D , -   , D , 15 , 25 , D , 157 ,,,,,,,,,
Virginia,,, , , , , , , , , , , , ,,,,,,,,,
,Norfolk ,NOR, 291 , 264 , 40 ," 1,714 ", D , D , D , 106 , 300 , 269 , 43 ," 1,820 ",,,,,,,,,
Washington,,, , , , , , , , , , , , ,,,,,,,,,
,Seattle ,SEA, 815 , 126 , 35 ," 4,537 ", 41 , 10 , 46 , 414 , 856 , 136 , 81 ," 4,951 ",,,,,,,,,
,Spokane ,SPO, 46 , 46 , D , 310 , D , D , D , 20 , 48 , 50 , 10 , 330 ,,,,,,,,,
,Yakima,YAK, 135 , 71 , D , 562 , D , D , D , 41 , 139 , 78 , 11 , 603 ,,,,,,,,,
West Virginia,,, , , , , , , , , , , , ,,,,,,,,,
,Charleston ,CHS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,
Wisconsin,,, , , , , , , , , , , , ,,,,,,,,,
,Milwaukee ,MIL, 332 , 29 , 15 ," 1,647 ", D , -   , D , 78 , 339 , 29 , 21 ," 1,725 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Field Office by Territory7,,, , , , , , , , , , , , ,,,,,,,,,
Guam,,, , , , , , , , , , , , ,,,,,,,,,
,Agana,AGA, 59 , 108 , D , 421 , D , D , D , 29 , 63 , 117 , D , 450 ,,,,,,,,,
U.S. Virgin Islands,,, , , , , , , , , , , , ,,,,,,,,,
,Charlotte Amalie,CHA, D , 20 , D , 174 , -   , D , -   , 27 , D , 21 , D , 201 ,,,,,,,,,
,Christiansted ,CHR, D , -   , -   , 11 , -   , -   , -   , -   , D , -   , -   , 11 ,,,,,,,,,
Puerto Rico,,, , , , , , , , , , , , ,,,,,,,,,
,San Juan ,SAJ, 84 , 76 , 28 , 549 , D , D , D , 31 , 87 , 84 , 31 , 580 ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Service Center,,, , , , , , , , , , , , ,,,,,,,,,
,California,WSC," 23,232 "," 7,988 "," 1,163 "," 89,919 "," 11,727 "," 17,588 "," 3,218 "," 700,580 "," 34,959 "," 25,576 "," 4,381 "," 790,499 ",,,,,,,,,
,Nebraska,NSC," 22,837 "," 9,490 "," 5,195 "," 72,223 "," 12,031 "," 2,843 "," 1,606 "," 78,443 "," 34,868 "," 12,333 "," 6,801 "," 150,666 ",,,,,,,,,
,Texas,SSC," 22,832 "," 12,376 "," 3,237 "," 74,037 "," 12,109 ", 960 , 728 ," 87,111 "," 34,941 "," 13,336 "," 3,965 "," 161,148 ",,,,,,,,,
,Vermont,ESC," 22,994 "," 10,653 ", 549 ," 93,087 "," 12,392 "," 4,390 "," 2,062 "," 130,689 "," 35,386 "," 15,043 "," 2,611 "," 223,776 ",,,,,,,,,
,Potomac,YSC," 22,894 "," 9,800 "," 2,522 "," 98,922 "," 12,259 "," 9,656 "," 1,670 "," 92,961 "," 35,153 "," 19,456 "," 4,192 "," 191,883 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Table Key:,,,,,,,,,,,,,,,,,,,,,,,
D  Disclosure standards not met,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,,,,,,,,
1 Immediate Relative refers to petitions to sponsor Immediate Relatives of U.S. citizens.,,,,,,,,,,,,,,,,,,,,,,,
2 All Other Relatives refers to petitions to sponsor relatives under Family-Based Preferences.,,,,,,,,,,,,,,,,,,,,,,,
3 The number of new petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,
4 The number of petitions approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,
5 The number of petitions denied during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,
6 The number of petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices;,,,,,,,,,,,,,,,,,,,,,,,
thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,,,,,,,,,,,,
7 Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,
"1) Some petitions approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,,,,,,,,
4) These counts do not include international offices.,,,,,,,,,,,,,,,,,,,,,,,
"5) Many USCIS international offices have permanently closed in the last two years; for a list of those offices, please see https://www.uscis.gov/about-us/uscis-office-closings",,,,,,,,,,,,,,,,,,,,,,,
"6) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,,,,,,,,,,
"PRT, queried 11/2022, TRK 10752",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
