<body><p>,,,,,,,,,,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,,,,,,,,,,
,Fresno ,FRE, 513 , 563 , 56 ," 1,536 ", D , 39 , D , 58 , 517 , 602 , 58 ," 1,594 ",,,,,,,,,,
,Imperial,IMP, 117 , 168 , D , 343 , -   , -   , D , 23 , 117 , 168 , D , 366 ,,,,,,,,,,
,Los Angeles ,LOS," 1,340 "," 1,343 ", 105 ," 6,886 ", D , 12 , 23 , 127 ," 1,341 "," 1,355 ", 128 ," 7,013 ",,,,,,,,,,
,Los Angeles County ,LAC," 1,169 "," 1,145 ", 180 ," 6,239 ", D , 20 , 17 , 124 ," 1,175 "," 1,165 ", 197 ," 6,363 ",,,,,,,,,,
,Sacramento ,SAC, 530 , 851 , 37 ," 2,126 ", D , 13 , D , 89 , 535 , 864 , 44 ," 2,215 ",,,,,,,,,,
,San Bernardino,SBD," 1,077 "," 1,928 ", 139 ," 3,381 ", D , 30 , 21 , 76 ," 1,081 "," 1,958 ", 160 ," 3,457 ",,,,,,,,,,
,San Diego ,SND, 845 ," 1,421 ", 40 ," 2,222 ", D , 23 , 15 , 72 , 848 ," 1,444 ", 55 ," 2,294 ",,,,,,,,,,
,San Fernando Valley,SFV, 814 , 881 , 57 ," 4,991 ", D , D , D , 86 , 819 , 884 , 64 ," 5,077 ",,,,,,,,,,
,San Francisco,SFR," 1,357 ", 660 , 62 ," 8,883 ", 15 , 33 , D , 216 ," 1,372 ", 693 , 71 ," 9,099 ",,,,,,,,,,
,San Jose ,SNJ, 804 , 815 , 54 ," 3,194 ", D , D , 12 , 94 , 806 , 821 , 66 ," 3,288 ",,,,,,,,,,
,Santa Ana,SAA, 932 , 837 , 108 ," 4,867 ", D , D , 11 , 58 , 934 , 843 , 119 ," 4,925 ",,,,,,,,,,
Colorado,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Denver ,DEN, 789 ," 1,123 ", 78 ," 3,186 ", D , D , D , 142 , 793 ," 1,130 ", 82 ," 3,328 ",,,,,,,,,,
Connecticut,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Hartford ,HAR, 719 , 435 , 57 ," 3,068 ", D , D , D , 95 , 726 , 444 , 62 ," 3,163 ",,,,,,,,,,
   Delaware,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Dover,DVD, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
District of Columbia,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Washington ,WAS," 1,037 "," 1,333 ", 66 ," 4,037 ", 11 , 19 , D , 214 ," 1,048 "," 1,352 ", 71 ," 4,251 ",,,,,,,,,,
Florida,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Hialeah,HIA, 570 , 837 , 54 ," 2,209 ", D , D , D , 52 , 576 , 840 , 61 ," 2,261 ",,,,,,,,,,
,Jacksonville,JAC, 365 , 371 , 39 ," 1,039 ", D , D , D , 32 , 368 , 378 , 43 ," 1,071 ",,,,,,,,,,
,Kendall,KND, 492 , 649 , 39 ," 2,119 ", D , D , D , 72 , 495 , 658 , 43 ," 2,191 ",,,,,,,,,,
,Miami ,MIA, 911 , 220 , 81 ," 8,028 ", D , D , D , 177 , 915 , 228 , 88 ," 8,205 ",,,,,,,,,,
,Fort Myers,OFM, 305 , 222 , 43 ," 1,831 ", -   , D , 12 , 39 , 305 , 231 , 55 ," 1,870 ",,,,,,,,,,
,Oakland Park,OKL," 1,105 ", 788 , 143 ," 8,468 ", D , D , D , 116 ," 1,110 ", 795 , 150 ," 8,584 ",,,,,,,,,,
,Orlando ,ORL," 1,073 "," 1,257 ", 156 ," 5,398 ", D , D , D , 145 ," 1,077 "," 1,266 ", 159 ," 5,543 ",,,,,,,,,,
,Tampa,TAM, 770 , 778 , 73 ," 2,404 ", D , 10 , D , 66 , 774 , 788 , 82 ," 2,470 ",,,,,,,,,,
,West Palm Beach,WPB, 718 , 874 , 120 ," 3,494 ", D , D , D , 120 , 719 , 881 , 128 ," 3,614 ",,,,,,,,,,
Georgia,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Atlanta ,ATL," 1,560 "," 1,449 ", 162 ," 9,041 ", 12 , 28 , D , 207 ," 1,572 "," 1,477 ", 165 ," 9,248 ",,,,,,,,,,
Hawaii,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Honolulu ,HHW, 188 , 191 , 25 , 854 , D , -   , D , 29 , 190 , 191 , 26 , 883 ,,,,,,,,,,
Idaho,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Boise ,BOI, 112 , 270 , 20 , 348 , D , D , -   , D , 115 , 271 , 20 , 357 ,,,,,,,,,,
Illinois,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Chicago ,CHI," 2,332 "," 1,529 ", 149 ," 11,746 ", D , 19 , D , 395 ," 2,337 "," 1,548 ", 158 ," 12,141 ",,,,,,,,,,
Indiana,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Indianapolis ,INP, 465 , 376 , 36 ," 1,774 ", D , D , -   , 29 , 466 , 383 , 36 ," 1,803 ",,,,,,,,,,
Iowa,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Des Moines,DSM, 125 , 166 , 14 , 611 , -   , D , -   , 24 , 125 , 169 , 14 , 635 ,,,,,,,,,,
Kansas,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Wichita,WIC, 161 , 156 , 14 , 584 , D , D , D , 10 , 162 , 157 , 15 , 594 ,,,,,,,,,,
Kentucky,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Louisville ,LOU, 189 , 166 , 42 , 639 , D , D , D , 16 , 191 , 170 , 43 , 655 ,,,,,,,,,,
Louisiana,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,New Orleans ,NOL, 344 , 482 , 46 ," 1,566 ", D , 12 , D , 54 , 346 , 494 , 48 ," 1,620 ",,,,,,,,,,
Maine,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Portland ,POM, 87 , 43 , D , 188 , -   , D , D , D , 87 , 46 , D , 192 ,,,,,,,,,,
Maryland,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Baltimore ,BAL," 1,263 "," 1,172 ", 83 ," 7,860 ", 12 , 12 , D , 319 ," 1,275 "," 1,184 ", 92 ," 8,179 ",,,,,,,,,,
Massachusetts,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Boston ,BOS," 1,561 "," 1,009 ", 150 ," 5,081 ", D , 13 , D , 196 ," 1,566 "," 1,022 ", 156 ," 5,277 ",,,,,,,,,,
,Lawrence,LAW, 492 , 437 , 81 ," 1,926 ", D , D , D , 51 , 494 , 441 , 82 ," 1,977 ",,,,,,,,,,
Michigan,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Detroit ,DET, 697 , 843 , 85 ," 1,904 ", D , 35 , 12 , 119 , 701 , 878 , 97 ," 2,023 ",,,,,,,,,,
Minnesota,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,St. Paul ,SPM, 575 , 325 , 68 ," 3,390 ", D , D , D , 94 , 580 , 327 , 71 ," 3,484 ",,,,,,,,,,
Missouri,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Kansas City ,KAN, 336 , 327 , 26 , 838 , D , D , D , 29 , 338 , 329 , 28 , 867 ,,,,,,,,,,
,St. Louis ,STL, 200 , 205 , 34 , 612 , -   , D , D , 32 , 200 , 210 , 35 , 644 ,,,,,,,,,,
Montana,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Helena ,HEL, 39 , 168 , D , 184 , -   , -   , -   , D , 39 , 168 , D , 187 ,,,,,,,,,,
Nebraska,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Omaha ,OMA, 168 , 160 , 52 , 537 , D , D , D , 31 , 170 , 163 , 57 , 568 ,,,,,,,,,,
Nevada,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Las Vegas ,LVG, 534 , 492 , 80 ," 3,404 ", D , D , D , 50 , 538 , 497 , 83 ," 3,454 ",,,,,,,,,,
,Reno ,REN, 93 , 143 , 11 , 407 , -   , D , -   , D , 93 , 145 , 11 , 410 ,,,,,,,,,,
New Hampshire,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Manchester ,MAN, 116 , 109 , D , 294 , D , D , -   , D , 117 , 110 , D , 302 ,,,,,,,,,,
New Jersey,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Mount Laurel,MTL, 537 , 608 , 38 ," 2,385 ", D , D , D , 69 , 543 , 613 , 39 ," 2,454 ",,,,,,,,,,
,Newark ,NEW," 2,631 "," 2,080 ", 442 ," 11,210 ", D , 27 , 18 , 212 ," 2,639 "," 2,107 ", 460 ," 11,422 ",,,,,,,,,,
New Mexico,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Albuquerque ,ABQ, 219 , 291 , 10 , 527 , D , D , D , D , 220 , 292 , 12 , 536 ,,,,,,,,,,
New York,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Albany ,ALB, 110 , 57 , D , 435 , -   , D , D , 24 , 110 , 60 , 10 , 459 ,,,,,,,,,,
,Brooklyn,BNY," 1,595 ", 982 , 168 ," 11,739 ", D , 34 , 12 , 414 ," 1,602 "," 1,016 ", 180 ," 12,153 ",,,,,,,,,,
,Buffalo ,BUF, 187 , 182 , 49 , 721 , D , 12 , 12 , 53 , 188 , 194 , 61 , 774 ,,,,,,,,,,
,Long Island,LNY," 1,031 ", 728 , 120 ," 4,063 ", D , 23 , D , 115 ," 1,036 ", 751 , 125 ," 4,178 ",,,,,,,,,,
,New York ,NYC," 2,222 "," 1,317 ", 324 ," 18,559 ", D , 17 , D , 669 ," 2,229 "," 1,334 ", 331 ," 19,228 ",,,,,,,,,,
,Queens,QNS," 1,898 "," 2,580 ", 219 ," 9,709 ", D , 10 , 14 , 352 ," 1,907 "," 2,590 ", 233 ," 10,061 ",,,,,,,,,,
North Carolina,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Charlotte ,CLT, 499 , 613 , 51 ," 1,604 ", -   , D , D , 37 , 499 , 620 , 54 ," 1,641 ",,,,,,,,,,
,Raleigh,RAL, 519 , 433 , 23 ," 1,669 ", D , D , D , 58 , 523 , 439 , 26 ," 1,727 ",,,,,,,,,,
Ohio,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Cincinnati ,CIN, 198 , 155 , 20 , 586 , D , D , -   , 28 , 202 , 156 , 20 , 614 ,,,,,,,,,,
,Cleveland ,CLE, 238 , 246 , 39 , 689 , -   , D , -   , 21 , 238 , 251 , 39 , 710 ,,,,,,,,,,
,Columbus,CLM, 296 , 334 , 54 , 810 , D , D , D , 24 , 301 , 342 , 57 , 834 ,,,,,,,,,,
Oklahoma,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Oklahoma City ,OKC, 400 , 366 , 20 , 871 , D , D , D , 15 , 401 , 374 , 23 , 886 ,,,,,,,,,,
Oregon,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Portland ,POO, 452 , 356 , 18 ," 1,473 ", D , D , D , 43 , 456 , 365 , 21 ," 1,516 ",,,,,,,,,,
Pennsylvania,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Philadelphia,PHI," 1,173 ", 940 , 164 ," 6,478 ", D , 11 , D , 175 ," 1,178 ", 951 , 169 ," 6,653 ",,,,,,,,,,
,Pittsburgh ,PIT, 201 , 147 , 14 , 736 , D , D , D , 16 , 202 , 151 , 16 , 752 ,,,,,,,,,,
Rhode Island,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Providence ,PRO, 230 , 367 , 47 , 913 , -   , D , -   , 17 , 230 , 370 , 47 , 930 ,,,,,,,,,,
South Carolina,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Charleston ,CHL, 242 , 270 , 67 ," 1,041 ", -   , D , D , 19 , 242 , 274 , 73 ," 1,060 ",,,,,,,,,,
,Greer,GRR, 125 , 213 , 28 , 415 , -   , D , D , 10 , 125 , 216 , 29 , 425 ,,,,,,,,,,
Tennessee,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Memphis ,MEM, 193 , 353 , 53 , 844 , D , 15 , D , 68 , 198 , 368 , 58 , 912 ,,,,,,,,,,
,Nashville,NTN, 343 , 284 , 17 ," 1,376 ", D , D , -   , 25 , 344 , 285 , 17 ," 1,401 ",,,,,,,,,,
Texas,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Dallas ,DAL," 2,267 "," 1,791 ", 249 ," 15,197 ", 14 , 10 , D , 295 ," 2,281 "," 1,801 ", 255 ," 15,492 ",,,,,,,,,,
,El Paso ,ELP, 526 , 833 , 58 ," 1,673 ", D , D , D , 65 , 528 , 839 , 61 ," 1,738 ",,,,,,,,,,
,Harlingen ,HLG, 517 , 611 , 59 ," 1,696 ", D , D , D , 68 , 519 , 616 , 61 ," 1,764 ",,,,,,,,,,
,Houston ,HOU," 2,342 "," 2,882 ", 292 ," 16,582 ", 15 , D , D , 253 ," 2,357 "," 2,891 ", 298 ," 16,835 ",,,,,,,,,,
,San Antonio ,SNA," 1,594 "," 1,449 ", 97 ," 4,222 ", D , 11 , D , 112 ," 1,599 "," 1,460 ", 101 ," 4,334 ",,,,,,,,,,
Utah,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Salt Lake City ,SLC, 545 , 488 , 28 ," 2,820 ", -   , D , -   , 22 , 545 , 489 , 28 ," 2,842 ",,,,,,,,,,
Vermont,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,St. Albans ,STA, 38 , 116 , D , 182 , -   , D , D , D , 38 , 117 , D , 186 ,,,,,,,,,,
Virginia,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Norfolk ,NOR, 372 , 385 , 41 ," 1,459 ", D , D , -   , 39 , 374 , 391 , 41 ," 1,498 ",,,,,,,,,,
Washington,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Seattle ,SEA, 846 , 557 , 64 ," 4,774 ", D , D , D , 100 , 852 , 562 , 66 ," 4,874 ",,,,,,,,,,
,Spokane ,SPO, 56 , 56 , D , 165 , -   , D , D , D , 56 , 57 , 12 , 168 ,,,,,,,,,,
,Yakima,YAK, 114 , 167 , D , 282 , D , D , D , D , 115 , 169 , D , 285 ,,,,,,,,,,
West Virginia,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Charleston ,CHS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
Wisconsin,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Milwaukee ,MIL, 319 , 359 , 24 ," 1,604 ", D , D , D , 34 , 322 , 361 , 26 ," 1,638 ",,,,,,,,,,
Field Office by Territory6,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
Guam,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Agana,AGA, 124 , 150 , 18 , 393 , -   , D , 39 , 28 , 124 , 151 , 57 , 421 ,,,,,,,,,,
U.S. Virgin Islands,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Charlotte Amalie,CHA, 24 , 55 , D , 121 , -   , -   , D , D , 24 , 55 , D , 130 ,,,,,,,,,,
,Christiansted ,CHR, D , -   , -   , 30 , -   , -   , -   , -   , D , -   , -   , 30 ,,,,,,,,,,
Puerto Rico,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,San Juan ,SAJ, 97 , 50 , D , 634 , -   , -   , D , 21 , 97 , 50 , D , 655 ,,,,,,,,,,
Service Center,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,California,WSC, 293 ," 1,924 ", 351 ," 8,622 "," 51,459 "," 12,472 "," 2,048 "," 899,301 "," 51,752 "," 14,396 "," 2,399 "," 907,923 ",,,,,,,,,,
,National Business Center,NBC, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
,Nebraska,NSC," 21,401 "," 15,969 ", 616 ," 76,383 ", 462 , 444 , 94 ," 1,961 "," 21,863 "," 16,413 ", 710 ," 78,344 ",,,,,,,,,,
,Texas,SSC," 35,628 "," 34,642 "," 1,499 "," 90,104 ", 711 , 716 , 189 ," 1,735 "," 36,339 "," 35,358 "," 1,688 "," 91,839 ",,,,,,,,,,
,Vermont,ESC, D , 162 , 424 ," 1,612 ", D , 413 , 935 ," 126,993 ", D , 575 ," 1,359 "," 128,605 ",,,,,,,,,,
,Potomac,YSC," 15,115 "," 22,488 ", 908 ," 46,528 ", 315 , 382 , 25 , 671 ," 15,430 "," 22,870 ", 933 ," 47,199 ",,,,,,,,,,
D  Data withheld to protect individuals' privacy.,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,,,,,,,,,,
"1 ""Immediate Relatives"" refers to petitions to sponsor Immediate Relatives of U.S. citizens. ""All Other Relatives"" refers to petitions to sponsor relatives under Family-Based Preferences. International field offices only accept Form I-130 filings for immediate relatives of U.S. citizens residing in the country in which the field office is located. ",,,,,,,,,,,,,,,,,,,,,,,,
2  The number of new petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
3  The number of petitions approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
"4  The number of petitions that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,,,,,
5  The number of petitions awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,
"1) Some petitions approved, denied, or pending a decision may have been received in prior reporting periods. ",,,,,,,,,,,,,,,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the report is queried.,,,,,,,,,,,,,,,,,,,,,,,,
Sources:,,,,,,,,,,,,,,,,,,,,,,,,
"1) Department of Homeland Security (DHS), U.S. Citizenship and Immigration Services (USCIS), Performance Reporting Tool, queried January 2019.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,,,,,,,,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,,,,,,,,,,
Total,,," 1,776 "," 1,748 ", 30 , 786 , N/A , N/A , N/A , N/A ," 1,776 "," 1,748 ", 30 , 786 ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
International Field Office by Country,,,,,,,,,,,,,,,,,,,,,,,,
China,,, , , , , , , , ,,,,,,,,,,,,,,
,Beijing,BEI, 48 , 74 , -   , 12 , N/A , N/A , N/A , N/A , 48 , 74 , -   , 12 ,,,,,,,,,,
,Guangzhou,GZH, 56 , 72 , D , 35 , N/A , N/A , N/A , N/A , 56 , 72 , D , 35 ,,,,,,,,,,
Cuba,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Havana,HAV, -   , -   , -   , -   , N/A , N/A , N/A , N/A , -   , -   , -   , -   ,,,,,,,,,,
Dominican Republic,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Santo Domingo,SDM, 21 , 74 , -   , 36 , N/A , N/A , N/A , N/A , 21 , 74 , -   , 36 ,,,,,,,,,,
El Salvador,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,San Salvador,SNS, 11 , 11 , -   , 10 , N/A , N/A , N/A , N/A , 11 , 11 , -   , 10 ,,,,,,,,,,
Germany,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Frankfurt,FKG, 232 , 246 , D , 117 , N/A , N/A , N/A , N/A , 232 , 246 , D , 117 ,,,,,,,,,,
Ghana,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Accra,ACG, D , D , -   , D , N/A , N/A , N/A , N/A , D , D , -   , D ,,,,,,,,,,
Greece,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Athens,ATH, 29 , 112 , -   , D , N/A , N/A , N/A , N/A , 29 , 112 , -   , D ,,,,,,,,,,
Guatemala,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Guatemala City,GTM, 16 , 26 , -   , D , N/A , N/A , N/A , N/A , 16 , 26 , -   , D ,,,,,,,,,,
Haiti,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Port-au-Prince,PAP, 13 , 14 , -   , D , N/A , N/A , N/A , N/A , 13 , 14 , -   , D ,,,,,,,,,,
India,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,New Delhi,NDI, 45 , 37 , -   , 28 , N/A , N/A , N/A , N/A , 45 , 37 , -   , 28 ,,,,,,,,,,
Italy,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Rome,RIT, 81 , 60 , D , 73 , N/A , N/A , N/A , N/A , 81 , 60 , D , 73 ,,,,,,,,,,
Jordan,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Amman,AMM, 126 , 139 , -   , 44 , N/A , N/A , N/A , N/A , 126 , 139 , -   , 44 ,,,,,,,,,,
Kenya,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Nairobi,NBO, 17 , D , -   , D , N/A , N/A , N/A , N/A , 17 , D , -   , D ,,,,,,,,,,
Mexico,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Ciudad Juarez,CDJ, 164 , 81 , -   , 20 , N/A , N/A , N/A , N/A , 164 , 81 , -   , 20 ,,,,,,,,,,
,Mexico City,MEX, 88 , 89 , D , 15 , N/A , N/A , N/A , N/A , 88 , 89 , D , 15 ,,,,,,,,,,
,Monterrey,MTR, 26 , 25 , -   , D , N/A , N/A , N/A , N/A , 26 , 25 , -   , D ,,,,,,,,,,
Peru,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Lima,LIM, 41 , 35 , -   , D , N/A , N/A , N/A , N/A , 41 , 35 , -   , D ,,,,,,,,,,
Philippines,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
,Manila,MPH, 104 , 134 , D , 37 , N/A , N/A , N/A , N/A , 104 , 134 , D , 37 ,,,,,,,,,,
Russia,,,,,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,
