<body><p>,,,,,,,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,,,,,,,
,Kendall,KND,530,299,42,"1,794",D,D,D,D,532,306,47,"1,801",,,,,,,
,Miami ,MIA,"1,090",507,67,"3,923",D,12,D,44,"1,097",519,70,"3,967",,,,,,,
,Fort Myers,OFM,333,196,17,"1,147",D,D,0,D,335,198,17,"1,153",,,,,,,
,Oakland Park,OKL,"1,428",992,163,"4,798",D,14,D,28,"1,433","1,006",171,"4,826",,,,,,,
,Orlando ,ORL,"1,166",610,101,"4,122",D,22,D,39,"1,169",632,107,"4,161",,,,,,,
,TAM,TAM,794,979,95,"2,076",D,D,D,12,798,981,97,"2,088",,,,,,,
,West Palm Beach,WPB,748,330,92,"2,249",0,D,20,116,748,339,112,"2,365",,,,,,,
Georgia,,, , , , , , , , ,,,,,,,,,,,
,Atlanta ,ATL,"2,071",827,140,"6,951",D,48,D,62,"2,072",875,144,"7,013",,,,,,,
Hawaii,,, , , , , , , , ,,,,,,,,,,,
,Honolulu ,HHW,277,213,19,607,0,D,0,0,277,219,19,607,,,,,,,
Idaho,,, , , , , , , , ,,,,,,,,,,,
,Boise ,BOI,139,354,D,429,0,D,0,0,139,357,D,429,,,,,,,
Illinois,,, , , , , , , , ,,,,,,,,,,,
,Chicago ,CHI,"2,929","2,085",171,"8,635",D,59,D,132,"2,932","2,144",177,"8,767",,,,,,,
Indiana,,, , , , , , , , ,,,,,,,,,,,
,Indianapolis ,INP,393,395,30,"1,096",D,D,D,24,394,401,31,"1,120",,,,,,,
Iowa,,, , , , , , , , ,,,,,,,,,,,
,Des Moines,DSM,137,135,16,544,0,0,D,10,137,135,17,554,,,,,,,
Kansas,,, , , , , , , , ,,,,,,,,,,,
,Wichita,WIC,162,123,D,528,0,0,D,D,162,123,10,530,,,,,,,
Kentucky,,, , , , , , , , ,,,,,,,,,,,
,Louisville ,LOU,194,122,19,531,D,D,D,17,195,125,21,548,,,,,,,
Louisiana,,, , , , , , , , ,,,,,,,,,,,
,New Orleans ,NOL,361,467,35,"1,132",0,14,0,D,361,481,35,"1,133",,,,,,,
Maine,,, , , , , , , , ,,,,,,,,,,,
,Portland ,POM,61,132,D,179,0,0,0,0,61,132,D,179,,,,,,,
Maryland,,, , , , , , , , ,,,,,,,,,,,
,Baltimore ,BAL,"1,472",331,40,"6,684",D,40,21,219,"1,473",371,61,"6,903",,,,,,,
Massachusetts,,, , , , , , , , ,,,,,,,,,,,
,Boston ,BOS,"1,595",952,166,"4,896",D,12,D,103,"1,598",964,171,"4,999",,,,,,,
,Lawrence,LAW,538,268,34,"1,709",0,D,D,45,538,276,35,"1,754",,,,,,,
Michigan,,, , , , , , , , ,,,,,,,,,,,
,Detroit ,DET,675,820,82,"2,167",D,14,0,155,676,834,82,"2,322",,,,,,,
Minnesota,,, , , , , , , , ,,,,,,,,,,,
,St. Paul ,SPM,679,336,12,"2,822",0,11,D,31,679,347,13,"2,853",,,,,,,
Missouri,,, , , , , , , , ,,,,,,,,,,,
,Kansas City ,KAN,373,605,30,"1,004",0,D,D,0,373,613,32,"1,004",,,,,,,
,St. Louis ,STL,213,189,35,919,D,0,D,D,215,189,36,928,,,,,,,
Montana,,, , , , , , , , ,,,,,,,,,,,
,Helena ,HEL,41,213,D,175,0,0,0,D,41,213,D,176,,,,,,,
Nebraska,,, , , , , , , , ,,,,,,,,,,,
,Omaha ,OMA,159,455,45,259,D,14,D,D,161,469,47,262,,,,,,,
Nevada,,, , , , , , , , ,,,,,,,,,,,
,Las Vegas ,LVG,722,569,78,"2,613",D,D,D,15,724,576,84,"2,628",,,,,,,
,Reno ,REN,95,233,D,269,0,0,D,0,95,233,D,269,,,,,,,
New Hampshire,,, , , , , , , , ,,,,,,,,,,,
,Manchester ,MAN,106,111,D,264,0,D,D,0,106,112,D,264,,,,,,,
New Jersey,,, , , , , , , , ,,,,,,,,,,,
,Mount Laurel,MTL,526,516,43,"1,368",D,D,10,14,527,524,53,"1,382",,,,,,,
,Newark ,NEW,"2,848","1,954",163,"10,600",D,20,D,88,"2,854","1,974",171,"10,688",,,,,,,
New Mexico,,, , , , , , , , ,,,,,,,,,,,
,Albuquerque ,ABQ,238,231,11,472,D,D,0,D,239,234,11,477,,,,,,,
New York,,, , , , , , , , ,,,,,,,,,,,
,Albany ,ALB,133,132,D,357,0,D,D,35,133,133,11,392,,,,,,,
,Buffalo ,BUF,205,286,40,585,D,12,D,65,206,298,42,650,,,,,,,
,Long Island,LNY,"1,751","1,322",96,"6,139",0,62,19,57,"1,751","1,384",115,"6,196",,,,,,,
,New York ,NYC,"5,016","3,496",480,"19,470",D,112,19,819,"5,025","3,608",499,"20,289",,,,,,,
,Queens,QNS,"1,625",934,107,"6,557",D,25,D,165,"1,628",959,114,"6,722",,,,,,,
North Carolina,,, , , , , , , , ,,,,,,,,,,,
,Charlotte ,CLT,574,432,37,"1,666",D,D,D,D,576,435,38,"1,674",,,,,,,
,Raleigh,RAL,619,420,33,"1,469",D,16,D,0,620,436,37,"1,469",,,,,,,
Ohio,,, , , , , , , , ,,,,,,,,,,,
,Cincinnati ,CIN,210,177,15,507,0,0,0,D,210,177,15,511,,,,,,,
,Cleveland ,CLE,258,268,20,556,D,D,D,D,259,269,21,561,,,,,,,
,Columbus,CLM,264,242,48,598,0,D,D,D,264,247,50,603,,,,,,,
Oklahoma,,, , , , , , , , ,,,,,,,,,,,
,Oklahoma City ,OKC,361,245,23,"1,093",0,D,D,D,361,249,24,"1,094",,,,,,,
Oregon,,, , , , , , , , ,,,,,,,,,,,
,Portland ,POO,552,398,18,"1,184",D,D,D,D,553,406,22,"1,186",,,,,,,
Pennsylvania,,, , , , , , , , ,,,,,,,,,,,
,Philadelphia,PHI,"1,318","1,331",82,"3,712",D,97,D,15,"1,324","1,428",83,"3,727",,,,,,,
,Pittsburgh ,PIT,237,184,17,605,0,D,0,0,237,188,17,605,,,,,,,
Rhode Island,,, , , , , , , , ,,,,,,,,,,,
,Providence ,PRO,216,354,25,701,0,D,D,D,216,357,26,708,,,,,,,
South Carolina,,, , , , , , , , ,,,,,,,,,,,
,Charleston ,CHL,237,214,24,919,0,D,D,D,237,220,25,922,,,,,,,
,Greer,GRR,120,88,10,213,0,D,0,0,120,91,10,213,,,,,,,
Tennessee,,, , , , , , , , ,,,,,,,,,,,
,Memphis ,MEM,539,319,32,"1,725",D,10,0,33,540,329,32,"1,758",,,,,,,
Texas,,, , , , , , , , ,,,,,,,,,,,
,Dallas ,DAL,"2,608","2,070",145,"8,484",D,11,D,249,"2,613","2,081",149,"8,733",,,,,,,
,El Paso ,ELP,722,561,18,"1,855",0,D,D,31,722,567,19,"1,886",,,,,,,
,Harlingen ,HLG,711,587,23,"1,967",0,D,0,35,711,591,23,"2,002",,,,,,,
,Houston ,HOU,"2,881","2,623",186,"11,729",D,33,D,177,"2,886","2,656",189,"11,906",,,,,,,
,San Antonio ,SNA,"1,545",743,37,"4,754",D,11,D,75,"1,549",754,38,"4,829",,,,,,,
Utah,,, , , , , , , , ,,,,,,,,,,,
,Salt Lake City ,SLC,666,434,23,"1,401",0,D,D,D,666,441,25,"1,406",,,,,,,
Vermont,,, , , , , , , , ,,,,,,,,,,,
,St. Albans ,STA,34,62,D,89,0,0,D,D,34,62,11,90,,,,,,,
Virginia,,, , , , , , , , ,,,,,,,,,,,
,Norfolk ,NOR,396,253,34,"1,193",0,D,0,22,396,254,34,"1,215",,,,,,,
Washington,,, , , , , , , , ,,,,,,,,,,,
,Seattle ,SEA,968,688,42,"2,856",D,D,D,D,970,693,45,"2,861",,,,,,,
,Spokane ,SPO,60,160,D,143,0,D,D,D,60,161,D,144,,,,,,,
,Yakima,YAK,153,121,D,252,0,D,11,D,153,128,20,253,,,,,,,
Wisconsin,,, , , , , , , , ,,,,,,,,,,,
,Milwaukee ,MIL,349,179,32,"1,028",0,D,0,27,349,181,32,"1,055",,,,,,,
Field Office by Territory6,,, , , , , , , , , , , , ,,,,,,,
Guam,,, , , , , , , , ,,,,,,,,,,,
,Hagatna,AGA,100,124,24,305,D,D,38,39,101,129,62,344,,,,,,,
U.S. Virgin Islands,,, , , , , , , , ,,,,,,,,,,,
,Charlotte Amalie,CHA,13,30,D,61,0,0,0,0,13,30,D,61,,,,,,,
,Christiansted ,CHR,D,D,D,27,0,0,0,0,D,D,D,27,,,,,,,
Puerto Rico,,, , , , , , , , ,,,,,,,,,,,
,San Juan ,SAJ,101,191,D,360,0,D,D,D,101,196,D,367,,,,,,,
Service Center,,, , , , , , , , , , , , ,,,,,,,
,California,WSC,587,933,511,"6,153","72,589","11,458","2,509","581,433","73,176","12,391","3,020","587,586",,,,,,,
,Nebraska,NSC,"28,097","34,907","2,823","99,981",420,971,286,"2,536","28,517","35,878","3,109","102,517",,,,,,,
,Texas,SSC,"45,770","17,075",767,"70,703",914,833,143,"1,297","46,684","17,908",910,"72,000",,,,,,,
,Vermont,ESC,D,213,465,"6,228",0,479,754,"139,280",D,692,"1,219","145,508",,,,,,,
,Potomac,YSC,"18,492","14,877",446,"34,921",274,342,27,505,"18,766","15,219",473,"35,426",,,,,,,
,,,,,,,,,,,,,,,,,,,,,
D  Data withheld to protect individuals' privacy.,,,,,,,,,,,,,,,,,,,,,
- Represents zero,,,,,,,,,,,,,,,,,,,,,
"1 ""Immediate Relatives"" refers to petitions to sponsor Immediate Relatives of U.S. citizens. ""All Other Relatives"" refers to petitions to sponsor relatives under Family-based Preferences. International field offices only accept Form I-130 filings for, ",,,,,,,,,,,,,,,,,,,,,
    immediate relatives of U.S. citizens residing in the country in which the field office is located. ,,,,,,,,,,,,,,,,,,,,,
2  The number of new petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,
3  The number of petitions approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,
"4  The number of petitions that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,,
5  The number of petitions awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,,,,,
"NOTE:  1) Some petitions approved, denied, or pending a decision may have been received in prior reporting periods. ",,,,,,,,,,,,,,,,,,,,,
             2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,,
"Sources:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool, March 2017; Department of Homeland Security, U.S. Citizenship and Immigration Services, CAMINO, March 2017.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,,,,,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
Total,,," 1,999 "," 2,085 ", -   , 773 , N/A , N/A , N/A , N/A ," 1,999 "," 2,085 ", -   , 773 ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
International Field Office by Country,,Field Office Code,,,,,,,,,,,,,,,,,,,
China,,, , , , , , , , ,,,,,,,,,,,
,Beijing,BEI,80,116,D,17,N/A,N/A,N/A,N/A,80,116,D,17,,,,,,,
,Guangzhou,GZH,93,104,D,22,N/A,N/A,N/A,N/A,93,104,D,22,,,,,,,
Cuba,,,,,,, , , , , , , , ,,,,,,,
,Havana,HAV, D , D ,0,D,N/A,N/A,N/A,N/A,D,D,0,D,,,,,,,
Dominican Republic,,,,,,, , , , , , , , ,,,,,,,
,Santo Domingo,SDM,77,127,D,10,N/A,N/A,N/A,N/A,77,127,D,10,,,,,,,
El Salvador,,,,,,, , , , , , , , ,,,,,,,
,San Salvador,SNS,12,21,0,13,N/A,N/A,N/A,N/A,12,21,0,13,,,,,,,
Germany,,,,,,, , , , , , , , ,,,,,,,
,Frankfurt,FKG,335,251,D,175,N/A,N/A,N/A,N/A,335,251,D,175,,,,,,,
Ghana,,,,,,, , , , , , , , ,,,,,,,
,Accra,ACG,D,13,0,D,N/A,N/A,N/A,N/A,D,13,0,D,,,,,,,
Greece,,,,,,, , , , , , , , ,,,,,,,
,Athens,ATH,41,57,0,D,N/A,N/A,N/A,N/A,41,57,0,D,,,,,,,
Guatemala,,,,,,, , , , , , , , ,,,,,,,
,Guatemala City,GTM,24,25,D,13,N/A,N/A,N/A,N/A,24,25,D,13,,,,,,,
Haiti,,,,,,, , , , , , , , ,,,,,,,
,Port-au-Prince,PAP,14,15,0,D,N/A,N/A,N/A,N/A,14,15,0,D,,,,,,,
India,,,,,,, , , , , , , , ,,,,,,,
,New Delhi,NDI,44,46,0,D,N/A,N/A,N/A,N/A,44,46,0,D,,,,,,,
Italy,,,,,,, , , , , , , , ,,,,,,,
,Rome,RIT,106,110,0,40,N/A,N/A,N/A,N/A,106,110,0,40,,,,,,,
Jordan,,,,,,, , , , , , , , ,,,,,,,
,Amman,AMM,130,173,D,146,N/A,N/A,N/A,N/A,130,173,D,146,,,,,,,
Kenya,,,,,,, , , , , , , , ,,,,,,,
,Nairobi,NBO,D,11,0,D,N/A,N/A,N/A,N/A,D,11,0,D,,,,,,,
Mexico,,,,,,, , , , , , , , ,,,,,,,
,Ciudad Juarez,CDJ,35,34,0,D,N/A,N/A,N/A,N/A,35,34,0,D,,,,,,,
,Mexico City,MEX,66,68,D,D,N/A,N/A,N/A,N/A,66,68,D,D,,,,,,,
,Monterrey,MTR,22,27,0,D,N/A,N/A,N/A,N/A,22,27,0,D,,,,,,,
Peru,,,,,,, , , , , , , , ,,,,,,,
,Lima,LIM,48,56,0,D,N/A,N/A,N/A,N/A,48,56,0,D,,,,,,,
Philippines,,,,,,, , , , , , , , ,,,,,,,
,Manila,MPH,115,132,D,33,N/A,N/A,N/A,N/A,115,132,D,33,,,,,,,
Russia,,,,,,, , , , , , , , ,,,,,,,
,Moscow,MOS,19,18,0,D,N/A,N/A,N/A,N/A,19,18,0,D,,,,,,,
South Africa,,,,,,, , , , , , , , ,,,,,,,
,Johannesburg,JHS,38,33,0,D,N/A,N/A,N/A,N/A,38,33,0,D,,,,,,,
South Korea,,,,,,, , , , , , , , ,,,,,,,
,Seoul,SEK,281,327,D,53,N/A,N/A,N/A,N/A,281,327,D,53,,,,,,,
Thailand,,,,,,, , , , , , , , ,,,,,,,
,Bangkok,BKK,59,80,D,10,N/A,N/A,N/A,N/A,59,80,D,10,,,,,,,
United Kingdom,,,,,,, , , , , , , , ,,,,,,,
,London,LDN,360,241,D,241,N/A,N/A,N/A,N/A,360,241,D,241,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
D  Data withheld to protect individuals' privacy.,,,,,,,,,,,,,,,,,,,,,
- Represents zero,,,,,,,,,,,,,,,,,,,,,
"1 ""Immediate Relatives"" refers to petitions to sponsor Immediate Relatives of U.S. citizens. ""All Other Relatives"" refers to petitions to sponsor relatives under Family-based Preferences. International field offices only accept Form I-130 filings for, ",,,,,,,,,,,,,,,,,,,,,
    immediate relatives of U.S. citizens residing in the country in which the field office is located. ,,,,,,,,,,,,,,,,,,,,,
2  The number of new petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,
3  The number of petitions approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,
"4  The number of petitions that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,,
5  The number of petitions awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,,,,,
"NOTE:  1) Some petitions approved, denied, or pending a decision may have been received in prior reporting periods. ",,,,,,,,,,,,,,,,,,,,,
             2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,,
"Sources:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool, April 2017; Department of Homeland Security, U.S. Citizenship and Immigration Services, CAMINO, April 2017.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,</p></body>
